Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,Potential.contami1000t,Peptides,Valid.values,Valid.values.60.min,Valid.values.unstim,60.min.FG207.neu,60.min.FG208.neu,60.min.FG209.neu,60.min.FG210.neu,unstim.FG38.neu,unstim.FG39.neu,unstim.FG40.neu,ORIGIN,PULLED_PROTEIN,KO
FALSE,0.775548421751899,-1.77943293253581,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,Color2 [DarkGray],1,4,NA,NA,21,7,4,3,13.9449262619019,17.7562255859375,16.3914260864258,14.1811265945435,17.6098251342773,17.6072254180908,16.8265266418457,60,IRAK4,NONE
FALSE,0.0481706772644844,-0.173550128936768,A2AQ19,A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,Color2 [DarkGray],1,4,NA,NA,7,7,4,3,12.6303262710571,15.7825260162354,13.2644262313843,12.1638259887695,13.2961263656616,15.4497261047363,12.1556262969971,60,IRAK4,NONE
FALSE,0.0662062770432503,-0.288536548614502,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,Color2 [DarkGray],1,4,NA,NA,6,7,4,3,10.02574634552,15.2154264450073,15.6196260452271,13.3654260635376,14.5626258850098,13.4394264221191,13.5332260131836,60,IRAK4,NONE
FALSE,0.587474427541391,1.55467017491659,A2ASS6,A2ASS6,Titin,Ttn,Color2 [DarkGray],1,4,NA,NA,5,5,3,2,7.99850606918335,7.24747610092163,7.44879579544067,NA,7.45889616012573,NA,4.56161546707153,60,IRAK4,NONE
FALSE,0.774665570099905,-2.16042216618856,A2AT37,A2AT37,NA,Upf2,Color2 [DarkGray],1,4,NA,NA,16,7,4,3,13.7756261825562,15.950626373291,12.9729261398315,10.5380363464355,15.6420259475708,15.8169260025024,14.9502258300781,60,IRAK4,NONE
TRUE,2.27028473781316,3.32361348470052,A2AWL7,A2AWL7,MAX gene-associated protein,Mga,Color2 [DarkGray],1,4,NA,NA,3,6,3,3,11.742226600647,12.4514265060425,12.8057260513306,NA,10.042426109314,8.4125862121582,8.57352638244629,60,IRAK4,NONE
FALSE,0.28430174899109,-0.273143450419109,A2BDX3,A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase,Mocs3,Color2 [DarkGray],1,4,NA,NA,1,6,3,3,NA,11.2370262145996,11.6713266372681,11.1040964126587,12.1194267272949,11.7661266326904,10.9463262557983,60,IRAK4,NONE
TRUE,3.11644929348188,-4.17974948883057,A2BE28,A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,Color2 [DarkGray],1,4,NA,NA,7,6,3,3,10.2908563613892,11.3391265869141,10.5800466537476,NA,15.2135257720947,15.273325920105,14.2624263763428,60,IRAK4,NONE
TRUE,3.36554617425216,-4.63752476374308,A2RSY6,A2RSY6,TRMT1-like protein,Trmt1l,Color2 [DarkGray],1,4,NA,NA,15,7,4,3,13.3508262634277,12.5080261230469,11.2398262023926,12.6701259613037,17.4544258117676,17.1941261291504,16.5906257629395,60,IRAK4,NONE
FALSE,0.305901154962548,1.09246603647868,A2RTL5,A2RTL5,Arginine/serine-rich coiled-coil protein 2,Rsrc2,Color2 [DarkGray],1,4,NA,NA,4,6,3,3,12.4686260223389,16.8059253692627,16.2886257171631,NA,14.7682266235352,13.1289262771606,14.3886260986328,60,IRAK4,NONE
FALSE,0.559298986808956,-0.766996701558432,A3KFM7,A3KFM7,Chromodomain-helicase-DNA-binding protein 6,Chd6,Color2 [DarkGray],1,4,NA,NA,2,5,2,3,8.68730640411377,9.4686861038208,NA,NA,10.053126335144,10.3846263885498,9.0972261428833,60,IRAK4,NONE
FALSE,0.493089920990205,-0.417725086212158,A6PWY4,A6PWY4,WD repeat-containing protein 76,Wdr76,Color2 [DarkGray],1,4,NA,NA,3,7,4,3,18.5606250762939,19.2337265014648,18.7882251739502,19.0250263214111,19.6144256591797,19.8242263793945,18.5202255249023,60,IRAK4,NONE
TRUE,2.0652057715955,-4.48929850260417,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,Color2 [DarkGray],1,4,NA,NA,4,5,2,3,12.2537260055542,NA,NA,10.6803960800171,15.8992261886597,16.5632266998291,15.4066257476807,60,IRAK4,NONE
FALSE,1.10418608407353,-1.66190306345622,B1ARD6,B1ARD6,NA,Slfn9,Color2 [DarkGray],1,4,NA,NA,7,6,3,3,11.676926612854,NA,13.3349266052246,11.2792167663574,14.1345262527466,14.0272264480591,13.115026473999,60,IRAK4,NONE
TRUE,3.38927739769787,-5.54075654347738,B1AY13,B1AY13,Ubiquitin carboxyl-terminal hydrolase 24,Usp24,Color2 [DarkGray],1,4,NA,NA,3,6,3,3,9.54601669311523,9.87401676177979,NA,9.63887596130371,15.3338260650635,16.0361270904541,14.3112258911133,60,IRAK4,NONE
FALSE,0.0339343232767167,-0.153199911117554,B1AZI6,B1AZI6,THO complex subunit 2,Thoc2,Color2 [DarkGray],1,4,NA,NA,22,7,4,3,13.5857257843018,18.4107265472412,16.9487266540527,13.1177263259888,15.8720264434814,16.0540256500244,15.0807266235352,60,IRAK4,NONE
TRUE,3.3622749150374,-3.14932521184285,B2RQC6;Q8C196,B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,Color2 [DarkGray],1,4,NA,NA,108,7,4,3,20.4780254364014,20.9150257110596,20.7504253387451,20.3089256286621,23.8919258117676,24.4092254638672,22.9861259460449,60,IRAK4,NONE
TRUE,1.01846087523735,-4.82098642985026,B2RR83,B2RR83,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,Color2 [DarkGray],1,4,NA,NA,14,5,2,3,NA,13.6878261566162,8.45898628234863,NA,16.0454254150391,16.4578266143799,15.1799259185791,60,IRAK4,NONE
TRUE,3.72193749701666,-5.23734903335571,B2RRE7,B2RRE7,OTU domain-containing protein 4,Otud4,Color2 [DarkGray],1,4,NA,NA,12,7,4,3,10.2056560516357,11.6348266601563,11.1611261367798,10.3113660812378,16.3429260253906,16.6066265106201,15.2472257614136,60,IRAK4,NONE
TRUE,2.9254011248211,-5.21968825658162,B2RXR6,B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,Color2 [DarkGray],1,4,NA,NA,21,7,4,3,11.0993366241455,13.1345262527466,12.4382266998291,12.6299257278442,18.3922252655029,18.1207256317139,16.1226253509521,60,IRAK4,NONE
FALSE,0.41213700320397,-0.987832466761272,B2RY56,B2RY56,RNA-binding protein 25,Rbm25,Color2 [DarkGray],1,4,NA,NA,15,7,4,3,15.7204265594482,18.9154262542725,18.2640266418457,15.6998262405396,18.3208255767822,18.6676254272461,17.424825668335,60,IRAK4,NONE
FALSE,0,3.36437487602234,B8ZXI1,B8ZXI1,Queuine tRNA-ribosyltransferase subunit QTRTD1,Qtrtd1,Color2 [DarkGray],1,4,NA,NA,3,5,4,1,15.1993265151978,15.7215261459351,14.2201261520386,15.2762260437012,NA,NA,11.7399263381958,60,IRAK4,NONE
TRUE,2.66177742490167,-2.78550863265991,B9EJ86;Q9ER64,B9EJ86,Oxysterol-binding protein,Osbpl8,Color2 [DarkGray],1,4,NA,NA,12,7,4,3,14.5163259506226,14.7757263183594,13.3729257583618,13.253625869751,16.8797264099121,16.9847259521484,16.4310264587402,60,IRAK4,NONE
TRUE,3.11506072018981,9.58294105529785,C0HKD9;C0HKD8,C0HKD9;C0HKD8,NA,NA,Color2 [DarkGray],1,4,NA,NA,6,7,4,3,18.8731250762939,22.7155265808105,21.7491264343262,18.4878253936768,10.8526268005371,11.8096265792847,9.95812606811523,60,IRAK4,NONE
FALSE,0.0347662154927648,0.125758806864422,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q6GSS7;Q8R1M2;Q64523;Q8CGP7;P27661;Q64522,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q6GSS7;Q8R1M2;Q64523;Q8CGP7;P27661,Histone H2A type 1-H;Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 2-A;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-K;Histone H2AX,Hist1h2ah;Hist1h2af;Hist3h2a;Hist2h2aa1;H2afj;Hist2h2ac;Hist1h2ak;H2afx,Color2 [DarkGray],1,4,NA,NA,6,7,4,3,23.8675270080566,26.652027130127,26.1074256896973,23.7972259521484,23.0154266357422,26.5615253448486,25.3639259338379,60,IRAK4,NONE
FALSE,0.379088843026126,-0.965299606323242,CON__ENSEMBL:ENSBTAP00000038253,CON__ENSEMBL:ENSBTAP00000038253,NA,NA,Color2 [DarkGray],1,4,NA,+,13,6,3,3,NA,13.7322263717651,11.8814268112183,12.4683265686035,13.1389265060425,15.4469261169434,12.3920259475708,60,IRAK4,NONE
FALSE,0.293140960240517,-0.884333769480389,CON__P00761,CON__P00761,NA,NA,Color2 [DarkGray],1,4,NA,+,4,7,4,3,20.7431259155273,25.3123264312744,24.5640258789063,23.5990257263184,24.7386264801025,25.0408267974854,23.537425994873,60,IRAK4,NONE
TRUE,4.58861935864363,-5.55950824419658,CON__P01966,CON__P01966,NA,NA,Color2 [DarkGray],1,4,NA,+,3,7,4,3,14.3759260177612,12.8870258331299,13.8639259338379,13.7233257293701,19.4416255950928,19.3054256439209,19.0691261291504,60,IRAK4,NONE
FALSE,0.249010337214594,-0.43562475840250803,CON__P02533;CON__Q6IFX2;Q6IFX2;CON__P19012;CON__A2A4G1;Q61414;CON__P19001;P19001;CON__Q61782;CON__P05784;CON__Q9D312;P05784;Q9D312;CON__Q8N1A0;CON__Q7Z3Y9;CON__O76014;Q8CCX5;Q8VCW2;Q9Z320;A6BLY7;A1L317,CON__P02533,NA,NA,Color2 [DarkGray],1,4,NA,+,25,7,4,3,19.3245258331299,21.8400268554688,20.5340251922607,20.4646263122559,20.4596252441406,21.8200263977051,20.6496257781982,60,IRAK4,NONE
FALSE,1.12071974805753,-1.7524832089742,CON__P02538;CON__O95678;CON__H-INV:HIT000292931;CON__H-INV:HIT000016045,CON__P02538,NA,NA,Color2 [DarkGray],1,4,NA,+,30,7,4,3,15.5046262741089,17.9117259979248,17.1265258789063,15.9470262527466,17.6255264282227,19.3851261138916,18.1142253875732,60,IRAK4,NONE
FALSE,0,8.27244997024536,CON__P02663,CON__P02663,NA,NA,Color2 [DarkGray],1,4,NA,+,6,5,4,1,22.2806262969971,21.4719257354736,23.9803256988525,20.1494255065918,NA,13.6981258392334,NA,60,IRAK4,NONE
TRUE,2.2587676353568,10.2592244148254,CON__P02668,CON__P02668,NA,NA,Color2 [DarkGray],1,4,NA,+,4,6,4,2,20.140926361084,19.759126663208,22.9063262939453,16.8206253051758,NA,10.0407266616821,9.25432682037354,60,IRAK4,NONE
FALSE,0.0747101920077635,-0.242323478062948,CON__P02768-1,CON__P02768-1,NA,NA,Color2 [DarkGray],1,4,NA,+,24,7,4,3,13.0914258956909,12.0901260375977,14.9421262741089,10.306866645813,12.9483261108398,12.5238265991211,13.0777263641357,60,IRAK4,NONE
TRUE,2.19295592774495,4.41965786616008,CON__P02769;P07724,CON__P02769,NA,NA,Color2 [DarkGray],1,4,NA,+,48,7,4,3,24.5871257781982,23.9859256744385,27.5993270874023,25.1062259674072,21.4699268341064,20.9550266265869,20.2750263214111,60,IRAK4,NONE
FALSE,0.158305113167861,-0.338608423868816,CON__P04259,CON__P04259,NA,NA,Color2 [DarkGray],1,4,NA,+,32,7,4,3,18.956226348877,21.801025390625,20.2107257843018,20.2078266143799,20.0098266601563,21.6570262908936,20.2308254241943,60,IRAK4,NONE
FALSE,0.0276664793543977,-0.0628830591837577,CON__P04264,CON__P04264,NA,NA,Color2 [DarkGray],1,4,NA,+,36,7,4,3,24.0098266601563,26.7207260131836,25.0739269256592,25.13942527771,25.2382259368896,26.155725479126,24.5026264190674,60,IRAK4,NONE
TRUE,3.29835540766921,-3.42154105504354,CON__P06868,CON__P06868,NA,NA,Color2 [DarkGray],1,4,NA,+,10,7,4,3,12.7267265319824,11.7954263687134,12.2919263839722,13.3305263519287,16.4052257537842,15.7865257263184,15.6813259124756,60,IRAK4,NONE
FALSE,0.396134756909777,-0.739258607228596,CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8;Q9Z2K1,CON__P08779,NA,NA,Color2 [DarkGray],1,4,NA,+,21,7,4,3,16.7910251617432,19.1758251190186,17.8412265777588,17.5379257202148,17.2898254394531,19.4696254730225,18.9678268432617,60,IRAK4,NONE
TRUE,2.43070124537092,-3.02859139442444,CON__P12763,CON__P12763,NA,NA,Color2 [DarkGray],1,4,NA,+,6,7,4,3,16.9282264709473,16.0338268280029,15.553126335144,16.4308261871338,19.3955268859863,20.1873264312744,18.2124252319336,60,IRAK4,NONE
FALSE,0.230229038886021,0.290941874186199,CON__P13645;CON__Q148H6;CON__Q7Z3Y7;CON__Q7Z3Z0;CON__Q7Z3Y8,CON__P13645,NA,NA,Color2 [DarkGray],1,4,NA,+,30,7,4,3,23.9925270080566,25.5660266876221,24.8198261260986,25.1740264892578,24.5284271240234,25.2715263366699,23.9915256500244,60,IRAK4,NONE
FALSE,0.421185164047671,-0.700292269388836,CON__P13647,CON__P13647,NA,NA,Color2 [DarkGray],1,4,NA,+,30,7,4,3,19.0546264648438,21.4864253997803,20.3096256256104,20.322925567627,20.9136257171631,21.9144268035889,20.1530265808105,60,IRAK4,NONE
TRUE,2.09307336836741,2.10508362452189,CON__P15636,CON__P15636,NA,NA,Color2 [DarkGray],1,4,NA,+,14,7,4,3,27.3750267028809,27.6454257965088,26.3304252624512,26.8266258239746,25.0990257263184,25.5785255432129,24.1403255462646,60,IRAK4,NONE
FALSE,0.19682317533052,0.372749487559002,CON__P35527,CON__P35527,NA,NA,Color2 [DarkGray],1,4,NA,+,28,7,4,3,23.3488254547119,25.8995265960693,24.4774265289307,24.409725189209,23.9893264770508,25.0697269439697,23.4243259429932,60,IRAK4,NONE
FALSE,0.202630731286203,0.32094144821167,CON__P35908;Q6IFZ9;CON__REFSEQ:XP_932229,CON__P35908,NA,NA,Color2 [DarkGray],1,4,NA,+,43,7,4,3,23.1786251068115,25.2080268859863,23.9575252532959,24.0982265472412,23.9064254760742,24.5010261535645,22.9615268707275,60,IRAK4,NONE
FALSE,0.556625128627667,-1.66443292299906,CON__P41361,CON__P41361,NA,NA,Color2 [DarkGray],1,4,NA,+,5,7,4,3,14.1806259155273,11.8989267349243,16.5462265014648,11.8755264282227,16.1524257659912,14.7926263809204,14.9242258071899,60,IRAK4,NONE
FALSE,1.00580188841644,-0.966665983200073,CON__Q04695,CON__Q04695,NA,NA,Color2 [DarkGray],1,4,NA,+,17,7,4,3,15.4252262115479,16.1943264007568,15.706826210022,16.4553260803223,16.1232261657715,17.7362251281738,16.8768253326416,60,IRAK4,NONE
FALSE,2.13661500264209,1.30022541681926,CON__Q1RMK2,CON__Q1RMK2,NA,NA,Color2 [DarkGray],1,4,NA,+,12,7,4,3,18.6670265197754,18.33522605896,19.2349262237549,18.7950267791748,17.6778259277344,17.718225479126,16.9774265289307,60,IRAK4,NONE
TRUE,3.93040854434196,-6.88522426287333,CON__Q28107;O88783,CON__Q28107,NA,NA,Color2 [DarkGray],1,4,NA,+,26,7,4,3,11.8891267776489,10.7721567153931,10.0978965759277,12.2772264480591,18.3287258148193,18.5023250579834,17.6019268035889,60,IRAK4,NONE
TRUE,1.37638563993445,-3.48227508862813,CON__Q2UVX4;P01027,CON__Q2UVX4,NA,NA,Color2 [DarkGray],1,4,NA,+,13,7,4,3,12.543025970459,10.2287559509277,14.8416261672974,10.6571960449219,15.8595266342163,15.9727258682251,14.8175258636475,60,IRAK4,NONE
FALSE,0.871205933654638,-1.29642454783122,CON__Q32MB2,CON__Q32MB2,NA,NA,Color2 [DarkGray],1,4,NA,+,5,7,4,3,16.5271263122559,19.0010261535645,17.8467254638672,17.105525970459,18.7084255218506,19.7432250976563,18.2979259490967,60,IRAK4,NONE
FALSE,0.127835671418547,-0.742523829142254,CON__Q3KNV1;CON__P08729;CON__Q9DCV7;Q9DCV7,CON__Q3KNV1;CON__P08729;CON__Q9DCV7;Q9DCV7,"Keratin, type II cytoskeletal 7",Krt7,Color2 [DarkGray],1,4,NA,+,6,6,3,3,10.7080564498901,17.5636253356934,13.1048259735107,NA,15.3811264038086,15.0989265441895,13.1240262985229,60,IRAK4,NONE
TRUE,3.33879772557325,-5.90179983774821,CON__Q3SX09;CON__P02070;P02104;P02089;P02088,CON__Q3SX09,NA,NA,Color2 [DarkGray],1,4,NA,+,7,6,3,3,14.2735261917114,14.7002258300781,13.4553260803223,NA,19.9945259094238,20.803825378418,19.3361263275146,60,IRAK4,NONE
TRUE,3.22174921589321,-5.83713340759277,CON__Q3SX14,CON__Q3SX14,NA,NA,Color2 [DarkGray],1,4,NA,+,28,6,3,3,13.87122631073,12.2702264785767,NA,13.1484260559082,19.2526264190674,19.3560256958008,18.192626953125,60,IRAK4,NONE
TRUE,3.0329031525573,-3.55846691131592,CON__Q3ZBS7;P29788,CON__Q3ZBS7,NA,NA,Color2 [DarkGray],1,4,NA,+,7,6,3,3,14.5143260955811,15.1057262420654,NA,15.2035264968872,18.696626663208,18.9707260131836,17.8316268920898,60,IRAK4,NONE
FALSE,0.0435806830776108,0.0613336563110352,CON__Q5D862,CON__Q5D862,NA,NA,Color2 [DarkGray],1,4,NA,+,6,7,4,3,13.9246263504028,15.08522605896,14.4548263549805,14.6154260635376,14.6701259613037,15.1503257751465,13.5556259155273,60,IRAK4,NONE
FALSE,0.663951709661831,1.68612464269002,CON__Q6KB66-1;CON__Q0VBK2;Q0VBK2,CON__Q6KB66-1,NA,NA,Color2 [DarkGray],1,4,NA,+,4,7,4,3,13.0361261367798,14.9992265701294,13.9766263961792,13.3542261123657,14.703426361084,11.215726852417,10.5471267700195,60,IRAK4,NONE
FALSE,0.616060846747632,0.861334005991619,CON__Q8N1N4-2;CON__Q7RTT2,CON__Q8N1N4-2;CON__Q7RTT2,NA,NA,Color2 [DarkGray],1,4,NA,+,12,7,4,3,17.2143268585205,19.0331268310547,17.5154266357422,17.4776268005371,16.9154262542725,17.850025177002,16.0809268951416,60,IRAK4,NONE
FALSE,0.290647286772166,1.09688305854797,CON__Q7Z794,CON__Q7Z794,NA,NA,Color2 [DarkGray],1,4,NA,+,18,7,4,3,16.2539253234863,16.5177268981934,16.6249256134033,15.7817258834839,17.9111251831055,15.9929265975952,11.6890268325806,60,IRAK4,NONE
FALSE,1.17539996524851,-1.59550825754802,CON__Q86YZ3,CON__Q86YZ3,NA,NA,Color2 [DarkGray],1,4,NA,+,15,7,4,3,14.8624258041382,16.0562267303467,16.0181255340576,14.1854257583618,16.5782260894775,17.8460254669189,16.2039260864258,60,IRAK4,NONE
TRUE,2.09344680083426,-5.40687290827433,D3YXK2,D3YXK2,Scaffold attachment factor B1,Safb,Color2 [DarkGray],1,4,NA,NA,8,5,2,3,10.7259464263916,NA,NA,11.7464265823364,17.3034267425537,17.1711254119873,15.454626083374,60,IRAK4,NONE
TRUE,2.60256326204426,-1.50421682993571,E9PVA8,E9PVA8,NA,Gcn1l1,Color2 [DarkGray],1,4,NA,NA,21,7,4,3,12.2019262313843,12.3843259811401,11.8205261230469,12.4667263031006,14.0523262023926,13.8789262771606,13.2365264892578,60,IRAK4,NONE
TRUE,2.88112905556505,-6.28833413124084,E9PVX6,E9PVX6,NA,Mki67,Color2 [DarkGray],1,4,NA,NA,53,7,4,3,10.7576961517334,11.8546266555786,12.6272258758545,8.95668601989746,17.5777263641357,17.6700267791748,16.76442527771,60,IRAK4,NONE
TRUE,3.42336726420714,-5.8854562441508,E9PZJ8,E9PZJ8,Activating signal cointegrator 1 complex subunit 3,Ascc3,Color2 [DarkGray],1,4,NA,NA,27,7,4,3,9.82797622680664,9.02190685272217,8.15144634246826,10.571216583252,15.668625831604,15.6562261581421,14.5109262466431,60,IRAK4,NONE
TRUE,1.5078823024999,-1.97965129216512,E9Q1P8,E9Q1P8,Interferon regulatory factor 2-binding protein 2,Irf2bp2,Color2 [DarkGray],1,4,NA,NA,3,7,4,3,12.4088268280029,11.2904262542725,10.5528964996338,10.2984161376953,13.0107259750366,13.9116258621216,12.4295263290405,60,IRAK4,NONE
TRUE,3.92808096046992,-4.74592471122742,E9Q3L2,E9Q3L2,NA,Pi4ka,Color2 [DarkGray],1,4,NA,NA,25,7,4,3,11.573826789856,10.8628263473511,12.1598262786865,11.303126335144,16.3403263092041,16.7736263275146,15.5485258102417,60,IRAK4,NONE
TRUE,1.71652297167442,-2.37120819091797,E9Q555,E9Q555,E3 ubiquitin-protein ligase RNF213,Rnf213,Color2 [DarkGray],1,4,NA,NA,39,7,4,3,12.3455266952515,14.3071260452271,12.4490261077881,11.6397266387939,15.0622262954712,15.4205265045166,14.6869258880615,60,IRAK4,NONE
TRUE,1.7206260036038,2.0743666489919,E9Q557,E9Q557,Desmoplakin,Dsp,Color2 [DarkGray],1,4,NA,NA,19,7,4,3,12.7599258422852,15.1548261642456,14.3692264556885,13.7941265106201,11.6898260116577,12.1824264526367,11.9632263183594,60,IRAK4,NONE
FALSE,0.226971168717448,0.599008321762085,E9Q5C9,E9Q5C9,NA,Nolc1,Color2 [DarkGray],1,4,NA,NA,6,7,4,3,15.5507259368896,18.9847259521484,18.0761260986328,15.7968263626099,16.4981269836426,17.1548252105713,15.8563261032104,60,IRAK4,NONE
TRUE,1.92999039634249,-3.54862475395203,E9Q5G3,E9Q5G3,Kinesin-like protein KIF23,Kif23,Color2 [DarkGray],1,4,NA,NA,32,7,4,3,16.9114265441895,13.5541257858276,16.3941268920898,16.2755260467529,19.3287258148193,19.7503261566162,18.9182262420654,60,IRAK4,NONE
TRUE,5.99790591170595,-7.61840804417928,E9Q634;P70248,E9Q634,Unconventional myosin-Ie,Myo1e,Color2 [DarkGray],1,4,NA,NA,48,7,4,3,16.2704257965088,16.4862251281738,16.4818267822266,16.2301254272461,24.1007251739502,24.4472255706787,23.4087257385254,60,IRAK4,NONE
FALSE,0.227126504470922,-0.776624043782553,E9Q784,E9Q784,NA,Zc3h13,Color2 [DarkGray],1,4,NA,NA,4,7,4,3,11.5943260192871,14.1637258529663,14.2469263076782,10.3072967529297,13.5676259994507,14.7262258529663,11.7702264785767,60,IRAK4,NONE
TRUE,1.2631079428175,-3.30378993352254,E9Q7G0,E9Q7G0,NA,Numa1,Color2 [DarkGray],1,4,NA,NA,27,7,4,3,9.23856639862061,14.615626335144,12.2019262313843,12.704026222229,15.7182264328003,15.5359258651733,15.2273263931274,60,IRAK4,NONE
FALSE,0.999227745571323,0.804849942525228,E9Q8D0,E9Q8D0,NA,Dnajc21,Color2 [DarkGray],1,4,NA,NA,3,5,2,3,NA,14.7646265029907,14.6527261734009,NA,13.4633264541626,13.874626159668,14.3735265731812,60,IRAK4,NONE
TRUE,3.04523504793932,-5.85171667734782,E9QAM5,E9QAM5,Helicase with zinc finger domain 2,Helz2,Color2 [DarkGray],1,4,NA,NA,30,6,3,3,10.2961463928223,9.47155666351318,NA,8.35912609100342,15.4948263168335,15.6537265777588,14.53342628479,60,IRAK4,NONE
TRUE,3.12696714638558,-6.91172981262207,E9QAT4,E9QAT4,NA,Sec16a,Color2 [DarkGray],1,4,NA,NA,24,6,3,3,9.52966594696045,8.75936603546143,10.268256187439,NA,16.6928253173828,17.3193264007568,15.2803258895874,60,IRAK4,NONE
TRUE,2.22524453672601,-3.78924655914307,F6ZDS4,F6ZDS4,Nucleoprotein TPR,Tpr,Color2 [DarkGray],1,4,NA,NA,13,6,3,3,8.39658641815186,9.51492595672607,NA,10.7982263565063,13.4875259399414,13.5357265472412,13.0542259216309,60,IRAK4,NONE
TRUE,2.57406910647362,-6.4137183825175,G3X9J0,G3X9J0,NA,Sipa1l3,Color2 [DarkGray],1,4,NA,NA,31,7,4,3,12.4646263122559,8.28363609313965,9.25833606719971,11.1727666854858,16.9094257354736,17.2796268463135,15.9366264343262,60,IRAK4,NONE
