Significant,-LOG(P-value),Difference,T:.Protein.IDs,T:.Majority.protein.IDs,T:.Protein.names,T:.Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Only.identified.by.site,C:.Reverse,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],N:.Valid.values,N:.Valid.values.15.min,N:.Valid.values.30.min,N:.Valid.values.60.min,N:.Valid.values.unstim,15.min.FG.167.neu,15.min.FG.168.neu,15.min.FG.169.neu,15.min.FG.170.neu,30.min.FG171.neu,30.min.FG172.neu,30.min.FG173.neu,30.min.FG174.neu,60.min.FG175.neu,60.min.FG176.neu,60.min.FG177.neu,60.min.FG178.neu,unstim.FG163.neu,unstim.FG164.neu,unstim.FG165.neu,unstim.FG166.neu,ORIGIN,PULLED_PROTEIN,KO
FALSE,0.510526534884866,0.609774589538574,A6PWY4,A6PWY4,WD repeat-containing protein 76,Wdr76,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,13,69.007,16,4,4,4,4,18.6451683044434,19.2706680297852,19.8149681091309,19.9282684326172,19.9395694732666,19.3297691345215,20.1550693511963,19.8001689910889,18.9158687591553,19.0340690612793,19.3075695037842,19.0805683135986,17.5774688720703,19.2476692199707,18.6682682037354,19.7265682220459,15,MYD88,IRAK1
FALSE,0.145484624076607,0.205974817276001,A6X919,A6X919,Probable C-mannosyltransferase DPY19L1,Dpy19l1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,1,84.186,10,4,4,0,2,12.397068977356,11.9843692779541,11.3756685256958,11.9726686477661,11.4559688568115,11.8716688156128,11.0235691070557,11.9513683319092,NA,NA,NA,NA,11.0388689041138,NA,12.4140691757202,NA,15,MYD88,IRAK1
FALSE,1.86448209306189,1.51487517356873,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,13,119.91,16,4,4,4,4,16.5953693389893,16.6334686279297,17.3301677703857,17.0949687957764,16.7780685424805,16.8468685150146,14.879768371582,16.2554683685303,15.156268119812,13.9721689224243,14.7094688415527,15.313268661499,14.2648687362671,15.8083686828613,15.4331684112549,16.0880680084229,15,MYD88,IRAK1
FALSE,0.734762219803591,1.30987477302551,B1ARD6,B1ARD6,NA,Slfn9,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,103.99,16,4,4,4,4,12.9294691085815,12.836368560791,12.6064691543579,12.8015689849854,12.4568691253662,11.9174690246582,12.7060689926147,12.1984691619873,12.6190690994263,11.1596689224243,11.4465684890747,12.5959692001343,8.87816905975342,12.3958692550659,12.1949691772461,12.4653692245483,15,MYD88,IRAK1
FALSE,0.330037230644618,0.349075078964233,B1AY10,B1AY10,Transcriptional repressor NF-X1,Nfx1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,28,123.81,16,4,4,4,4,17.1220684051514,17.7469692230225,17.412467956543,17.5247688293457,17.2762680053711,17.5287685394287,18.1070690155029,17.5301685333252,17.5691680908203,16.7761688232422,17.037769317627,16.6515693664551,15.8966684341431,17.2312679290771,17.3407688140869,17.9412689208984,15,MYD88,IRAK1
FALSE,0.0687492438694722,0.0549750328063965,B1AZI6,B1AZI6,THO complex subunit 2,Thoc2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,26,182.77,16,4,4,4,4,16.2441692352295,16.3935680389404,16.8019676208496,15.94446849823,16.4720687866211,15.822868347168,16.4048690795898,16.8191680908203,15.9504690170288,15.5889682769775,15.3193683624268,15.4256687164307,15.6440687179565,16.5548686981201,16.3525676727295,16.6127681732178,15,MYD88,IRAK1
FALSE,1.2702065023917,0.927850008010864,B2RQC2,B2RQC2,Ubiquitin carboxyl-terminal hydrolase 42,Usp42,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,4,146.22,16,4,4,4,4,12.7749691009521,13.2038688659668,13.7331686019897,13.1405687332153,12.5071687698364,13.3436689376831,13.8296689987183,12.7243690490723,12.9747686386108,12.8090686798096,12.6568689346313,12.3360691070557,11.543568611145,12.502368927002,12.0004692077637,13.0947685241699,15,MYD88,IRAK1
FALSE,0.922758816556513,0.548649787902832,B2RQC6;Q8C196,B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,65,243.24,16,4,4,4,4,19.085168838501,19.4173679351807,20.0779685974121,19.368968963623,19.1807689666748,19.1681690216064,19.4901695251465,19.3778686523438,19.393367767334,19.1857681274414,18.9292678833008,19.0499687194824,18.4680690765381,19.1605682373047,18.6987686157227,19.42746925354,15,MYD88,IRAK1
FALSE,0.231218768002993,0.163199424743652,B2RR83,B2RR83,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,49,161.09,16,4,4,4,4,18.2992687225342,18.4845676422119,18.7355690002441,19.0273685455322,18.5284690856934,18.3139686584473,18.1795692443848,18.265869140625,18.3202686309814,17.889669418335,17.6468677520752,17.6828689575195,17.7819690704346,18.6852684020996,18.5820693969727,18.844669342041,15,MYD88,IRAK1
FALSE,0.634367907639072,0.991324663162231,B2RRD7,B2RRD7,NA,Brpf1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,5,137.31,16,4,4,4,4,12.6706686019897,13.0597686767578,13.23166847229,12.9682683944702,12.931468963623,12.8624687194824,9.82804870605469,12.3091688156128,11.331768989563,10.7465686798096,11.4278688430786,10.8611688613892,9.78366851806641,12.6427688598633,12.7600688934326,12.7785692214966,15,MYD88,IRAK1
FALSE,0.759695114872042,0.287849903106689,B2RRE7,B2RRE7,OTU domain-containing protein 4,Otud4,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,29,123.05,16,4,4,4,4,18.2786693572998,18.4310684204102,18.5117683410645,18.6502685546875,18.9005680084229,18.3560676574707,18.6947689056396,18.8864688873291,18.7950687408447,18.0261688232422,17.7785682678223,18.2307682037354,17.6886692047119,18.4689693450928,18.2885684967041,18.2741680145264,15,MYD88,IRAK1
FALSE,0.790792214302952,0.651299715042114,B2RX14,B2RX14,Terminal uridylyltransferase 4,Zcchc11,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,15,184.65,16,4,4,4,4,13.9875688552856,13.8233690261841,13.6869688034058,14.6150684356689,13.3544683456421,12.9012689590454,14.3177690505981,14.6902685165405,14.3615684509277,14.0724687576294,13.0874691009521,13.2114686965942,12.3305692672729,13.5738687515259,13.7651691436768,13.8381690979004,15,MYD88,IRAK1
FALSE,0.163681237941414,0.0949997901916504,B2RY56,B2RY56,RNA-binding protein 25,Rbm25,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,16,99.551,16,4,4,4,4,16.9405689239502,17.5119686126709,17.8515682220459,17.35546875,17.5665683746338,17.7041683197021,17.7079677581787,18.0843677520752,17.1435680389404,16.9461688995361,17.0021686553955,17.2009677886963,16.9766693115234,17.5094680786133,17.3384685516357,17.4549694061279,15,MYD88,IRAK1
TRUE,1.67716989690917,2.48869514465332,B7ZNG0,B7ZNG0,Kinesin-like protein KIF7,Kif7,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,151.62,8,2,1,3,2,NA,11.5397691726685,NA,11.1727685928345,10.2955389022827,NA,NA,NA,8.99965858459473,11.1277685165405,NA,9.14251899719238,9.18506908416748,8.55007839202881,NA,NA,15,MYD88,IRAK1
FALSE,2.18067522941194,1.57132506370544,B7ZNG4,B7ZNG4,Tastin,Troap,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,5,71.958,15,4,3,4,4,13.535569190979,13.8204689025879,14.2656688690186,14.6728687286377,13.9977684020996,13.648268699646,NA,11.9836692810059,11.2986688613892,12.9286689758301,12.7157688140869,13.4930686950684,11.8325691223145,12.359468460083,12.5604686737061,13.2567691802979,15,MYD88,IRAK1
FALSE,0.413582411757459,0.548350095748901,B8ZXI1,B8ZXI1,Queuine tRNA-ribosyltransferase subunit QTRTD1,Qtrtd1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,1,46.288,16,4,4,4,4,10.7477684020996,11.3983688354492,11.249568939209,10.7123689651489,11.3776683807373,11.002368927002,11.2492685317993,11.1144685745239,11.0589685440063,11.0094690322876,11.2023687362671,11.4441690444946,8.91136837005615,10.7285690307617,10.7038688659668,11.5708684921265,15,MYD88,IRAK1
TRUE,2.97506469680887,3.23094964027405,B9EJ86;Q9ER64,B9EJ86,Oxysterol-binding protein,Osbpl8,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,101.27,16,4,4,4,4,14.0721683502197,14.5268688201904,14.9449682235718,14.7140684127808,13.5763683319092,12.8462686538696,12.0286684036255,12.4464683532715,11.4858684539795,9.57937908172607,11.4506683349609,12.6365690231323,9.8308687210083,12.0492687225342,11.4869689941406,11.9671688079834,15,MYD88,IRAK1
FALSE,0.59664075364805,0.770925521850586,C0HKD9;C0HKD8,C0HKD9;C0HKD8,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,4,51.954,16,4,4,4,4,15.9443683624268,17.2271690368652,17.2761688232422,16.0694694519043,16.4840679168701,17.0229682922363,16.1526679992676,16.9485683441162,15.6642684936523,14.1295690536499,15.1204681396484,14.9061689376831,14.6010684967041,16.9786682128906,15.7526683807373,16.1010684967041,15,MYD88,IRAK1
FALSE,0.671195169913953,-1.58820056915283,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q6GSS7;Q8R1M2;Q64523;P27661;Q64522,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q6GSS7;Q8R1M2;Q64523;P27661,Histone H2A type 1-H;Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 2-A;Histone H2A.J;Histone H2A type 2-C;Histone H2AX,Hist1h2ah;Hist1h2af;Hist3h2a;Hist2h2aa1;H2afj;Hist2h2ac;H2afx,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,5,14.135,16,4,4,4,4,25.3599681854248,23.8214683532715,23.0643692016602,22.934268951416,22.025369644165,22.8909683227539,26.1128692626953,27.3833694458008,24.6086692810059,21.8256683349609,21.4588680267334,26.054069519043,25.6683692932129,26.6765689849854,26.7019691467285,22.485969543457,15,MYD88,IRAK1
FALSE,0.441191728828427,0.665200233459473,C0HKG6;C0HKG5,C0HKG6;C0HKG5,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,1,29.608,8,3,1,1,3,12.5636692047119,NA,13.8198690414429,12.6889686584473,NA,14.6379690170288,NA,NA,13.0046691894531,NA,NA,NA,11.3629684448242,NA,12.6737689971924,13.040168762207,15,MYD88,IRAK1
FALSE,3.07034806308883e-4,0.00145045916239361,CON__ENSEMBL:ENSP00000377550;Q64291,CON__ENSEMBL:ENSP00000377550,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,13,45.771,14,3,4,3,4,NA,17.1839694976807,13.8815689086914,13.3904685974121,17.2147693634033,16.9664688110352,14.8018684387207,15.8644685745239,16.3838691711426,11.4945688247681,NA,15.8532686233521,14.4199686050415,12.4060688018799,15.129768371582,17.3130683898926,15,MYD88,IRAK1
FALSE,0,-1.21880054473877,CON__O43790;CON__Q14533,CON__O43790;CON__Q14533,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,15,53.5,7,1,3,2,1,NA,12.8518686294556,NA,NA,9.24165916442871,NA,13.8838691711426,20.0444679260254,10.3339691162109,14.078369140625,NA,NA,NA,NA,NA,14.0706691741943,15,MYD88,IRAK1
FALSE,0.392457498400157,-0.936805009841919,CON__P00735;P19221,CON__P00735;P19221,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,F2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,2,70.505,16,4,4,4,4,10.1895685195923,10.2668685913086,13.683069229126,10.1127490997314,12.8242683410645,13.6900691986084,12.7668685913086,12.9345684051514,10.9868688583374,11.5274686813354,10.6970691680908,13.3470687866211,11.663969039917,12.7018690109253,10.5323686599731,13.1012687683105,15,MYD88,IRAK1
TRUE,1.17460393608207,3.04057455062866,CON__P00761,CON__P00761,NA,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,+,4,24.409,16,4,4,4,4,24.4154682159424,24.9848690032959,25.1407680511475,25.0962696075439,20.04176902771,25.6661682128906,26.0341682434082,19.4375686645508,24.735668182373,19.2579689025879,19.6880683898926,18.7912693023682,23.1637687683105,25.0568695068359,19.6471691131592,19.6072692871094,15,MYD88,IRAK1
