Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Potential.contaminant,Peptides,Mol..weight.[kDa],Valid.values,Valid.values.30.min,Valid.values.unstim,30.min_1.neu,30.min_2.neu,30.min_3.neu,30.min_4.neu,unstim_1.neu,unstim_2.neu,unstim_3.neu,unstim_4.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,3.30114803688078,1.95957446098328,E9QAT4,E9QAT4,NA,Sec16a,NA,23,254.2,8,4,4,16.5571994781494,16.8771991729736,15.9940996170044,15.7699003219604,14.4119005203247,13.9340000152588,14.4997997283936,14.5144004821777,30,MYD88,NONE
TRUE,3.07054213179351,1.52927494049072,G3X9J0,G3X9J0,NA,Sipa1l3,NA,42,195.06,8,4,4,19.1506004333496,19.1282005310059,19.4881000518799,18.4018001556396,17.6618003845215,17.3332004547119,17.3551006317139,17.7014999389648,30,MYD88,NONE
TRUE,2.29672228104297,3.51254963874817,G5E861,G5E861,Sodium channel and clathrin linker 1,Sclt1,NA,2,80.491,6,4,2,14.699800491333,15.4518995285034,15.9204998016357,16.6926002502441,NA,12.0888004302979,12.268500328064,NA,30,MYD88,NONE
TRUE,1.01298785641162,3.20789980888367,O08553;Q62188,O08553,Dihydropyrimidinase-related protein 2,Dpysl2,NA,24,62.277,8,4,4,16.0025997161865,15.1129999160767,16.1157989501953,22.0883007049561,15.0691995620728,13.8000001907349,13.8246002197266,13.7943000793457,30,MYD88,NONE
TRUE,3.4496353386296,1.30649948120117,O08573,O08573,Galectin-9,Lgals9,NA,5,40.035,8,4,4,17.5625991821289,17.7516994476318,17.9326000213623,17.221399307251,16.5006999969482,16.4500999450684,16.0974006652832,16.1940994262695,30,MYD88,NONE
TRUE,1.04916504031382,-1.85996627807617,O08759,O08759,Ubiquitin-protein ligase E3A,Ube3a,NA,21,99.818,5,2,3,NA,9.97389030456543,NA,8.07171058654785,11.1700000762939,10.9542999267578,10.5240001678467,NA,30,MYD88,NONE
TRUE,2.06913767901068,1.36602544784546,O08807,O08807,Peroxiredoxin-4,Prdx4,NA,8,31.052,8,4,4,18.269100189209,18.6226005554199,19.4111003875732,17.7623996734619,17.0989990234375,17.1639995574951,16.9804000854492,17.3577003479004,30,MYD88,NONE
TRUE,1.67100208754821,1.40804982185364,O08811,O08811,TFIIH basal transcription factor complex helicase XPD subunit,Ercc2,NA,2,86.841,6,2,4,13.4902000427246,NA,14.3559999465942,NA,12.042799949646,12.4772005081177,12.605299949646,12.9349002838135,30,MYD88,NONE
TRUE,2.45108377238908,1.44274973869324,O09061,O09061,Proteasome subunit beta type-1,Psmb1,NA,10,26.372,8,4,4,16.5055999755859,15.9525995254517,16.408899307251,16.3901996612549,15.3475999832153,15.0943994522095,14.0439004898071,15.0003995895386,30,MYD88,NONE
TRUE,2.00654947695687,1.19710063934326,O35326,O35326,Serine/arginine-rich splicing factor 5,Srsf5,NA,7,30.891,8,4,4,22.3103008270264,22.4353008270264,23.4529991149902,22.232400894165,21.6455993652344,21.2724990844727,21.0540008544922,21.6704998016357,30,MYD88,NONE
TRUE,1.89885040236625,1.30395197868347,O35493,O35493,Dual specificity protein kinase CLK4,Clk4,NA,2,57.344,6,2,4,12.1640996932983,11.4788999557495,NA,NA,10.7601003646851,10.6040000915527,10.6126003265381,10.0934906005859,30,MYD88,NONE
TRUE,1.19476718092389,1.63977551460266,O54692,O54692,Centromere/kinetochore protein zw10 homolog,Zw10,NA,17,88.062,8,4,4,13.7399005889893,14.7483005523682,14.7764005661011,12.5600004196167,12.1957998275757,13.7025003433228,11.3365001678467,12.0306997299194,30,MYD88,NONE
TRUE,3.30476851664439,2.28322553634644,O54824,O54824,Pro-interleukin-16;Interleukin-16,Il16,NA,9,141.43,8,4,4,16.9412994384766,17.13330078125,18.0090007781982,16.9381008148193,15.3259000778198,14.8166999816895,14.4246997833252,15.3214998245239,30,MYD88,NONE
TRUE,1.11713459223292,1.86509966850281,O54826,O54826,Protein AF-10,Mllt10,NA,2,113.03,8,4,4,15.4140996932983,15.3101997375488,16.0345993041992,15.2341995239258,13.8821001052856,14.6398000717163,11.1521997451782,14.8585996627808,30,MYD88,NONE
TRUE,3.65688991325623,1.97067475318909,O55023,O55023,Inositol monophosphatase 1,Impa1,NA,9,30.436,8,4,4,16.0571002960205,16.6198997497559,16.082799911499,16.0680999755859,14.2379999160767,14.8255004882813,13.9411001205444,13.9406003952026,30,MYD88,NONE
TRUE,3.23061869661484,2.9167492389679,O55229,O55229,Choline/ethanolamine kinase,Chkb,NA,3,45.126,6,2,4,15.9822998046875,16.0126991271973,NA,NA,13.6218004226685,12.6862001419067,12.9582004547119,13.0567998886108,30,MYD88,NONE
TRUE,3.03551549645274,1.85827541351318,O55236,O55236,mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase,Rngtt,NA,6,68.683,6,2,4,12.9737005233765,12.9434003829956,NA,NA,11.3200998306274,11.2845001220703,10.7062997817993,11.0902004241943,30,MYD88,NONE
TRUE,2.68723783147848,1.51310014724731,O70157,O70157,DNA topoisomerase 3-alpha,Top3a,NA,3,112.36,8,4,4,14.614800453186,15.0403995513916,14.6396999359131,14.3045997619629,13.2820997238159,13.0868997573853,12.4878997802734,13.6901998519897,30,MYD88,NONE
TRUE,3.98440515826701,2.7934250831604,O88342,O88342,WD repeat-containing protein 1,Wdr1,NA,21,66.406,8,4,4,20.257999420166,20.3673992156982,20.8829002380371,19.636100769043,17.9356002807617,17.5137996673584,17.088399887085,17.4328994750977,30,MYD88,NONE
TRUE,1.63177541411226,1.35866014162699,O88351,O88351,Inhibitor of nuclear factor kappa-B kinase subunit beta,Ikbkb,NA,7,86.689,7,3,4,10.1457004547119,9.69248008728027,10.0353097915649,NA,9.34871006011963,7.6952600479126,8.57831001281738,8.77439975738525,30,MYD88,NONE
TRUE,4.31742665305833,3.04402494430542,O88398,O88398,Advillin,Avil,NA,36,92.031,8,4,4,23.6760005950928,23.5436992645264,23.9853000640869,22.6791000366211,20.6993999481201,20.3854007720947,20.3311996459961,20.2919998168945,30,MYD88,NONE
TRUE,2.0158168904242,1.51306660970052,O88487;O88485,O88487,Cytoplasmic dynein 1 intermediate chain 2,Dync1i2,NA,13,68.393,6,3,3,12.3584003448486,13.0631999969482,NA,12.9303998947144,11.7430000305176,11.1343002319336,10.9355001449585,NA,30,MYD88,NONE
TRUE,3.82504296142622,3.3425498008728,O88502,O88502,"High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8A",Pde8a,NA,11,93.17,8,4,4,17.0944004058838,17.5445995330811,17.8994007110596,16.3747997283936,14.3382005691528,13.9472999572754,13.974100112915,13.2834005355835,30,MYD88,NONE
TRUE,1.86585374276169,1.98806683222453,O88522,O88522,NF-kappa-B essential modulator,Ikbkg,NA,2,47.972,5,3,2,14.3250999450684,NA,13.3718004226685,13.8347005844116,NA,NA,11.673900604248,12.0376996994019,30,MYD88,NONE
TRUE,2.22919529415288,1.177574634552,O88700,O88700,Bloom syndrome protein homolog,Blm,NA,15,158.36,8,4,4,15.6431999206543,16.0711994171143,16.546199798584,15.2622995376587,14.8456001281738,14.5692005157471,14.6662998199463,14.731499671936,30,MYD88,NONE
TRUE,2.27371074800105,1.15914988517761,O88874,O88874,Cyclin-K,Ccnk,NA,7,61.363,8,4,4,14.1526002883911,13.9899997711182,14.2558002471924,13.8010997772217,12.7924003601074,13.1433000564575,12.2284002304077,13.3987998962402,30,MYD88,NONE
TRUE,3.13352678453587,1.70507502555847,O88942,O88942,"Nuclear factor of activated T-cells, cytoplasmic 1",Nfatc1,NA,8,77.832,8,4,4,14.8141002655029,15.3429002761841,15.8938999176025,15.6707000732422,13.7720003128052,14.0611000061035,13.4194002151489,13.6487998962402,30,MYD88,NONE
TRUE,3.98275151974462,2.07947540283203,O89053,O89053,Coronin-1A,Coro1a,NA,23,50.989,8,4,4,21.3948001861572,21.6543006896973,22.3505992889404,21.3843002319336,19.6009998321533,19.6305999755859,19.5186996459961,19.715799331665,30,MYD88,NONE
TRUE,2.38964646871654,1.42747497558594,O89090,O89090,Transcription factor Sp1,Sp1,NA,2,80.731,8,4,4,16.7040996551514,17.0534000396729,17.4388008117676,16.4895992279053,15.6378002166748,15.5801000595093,14.8173999786377,15.9406995773315,30,MYD88,NONE
TRUE,3.16653678696645,1.91837509473165,P00493,P00493,Hypoxanthine-guanine phosphoribosyltransferase,Hprt1,NA,10,24.57,7,3,4,13.9327001571655,14.202600479126,13.9193000793457,NA,12.6098003387451,12.1978998184204,11.9699001312256,11.6217002868652,30,MYD88,NONE
TRUE,3.75946676241075,2.32984972000122,P01831,P01831,Thy-1 membrane glycoprotein,Thy1,NA,5,18.08,8,4,4,24.5009002685547,24.478099822998,25.1639995574951,23.9776000976563,22.5891990661621,21.8889007568359,22.1508007049561,22.1723003387451,30,MYD88,NONE
TRUE,2.58678906048681,1.98440003395081,P01899;P01897;P01898;P01896,P01899;P01897,"H-2 class I histocompatibility antigen, D-B alpha chain;H-2 class I histocompatibility antigen, L-D alpha chain",H2-D1;H2-L,NA,16,40.836,8,4,4,16.8176002502441,16.8295001983643,17.3827991485596,16.536600112915,15.2656002044678,15.5931997299194,13.9316997528076,14.838399887085,30,MYD88,NONE
TRUE,3.18761195692549,1.22709989547729,P03975,P03975,IgE-binding protein,Iap,NA,13,62.747,8,4,4,22.9719009399414,23.2691993713379,23.5727996826172,22.8612003326416,22.1431007385254,21.9929008483887,21.6565990447998,21.974100112915,30,MYD88,NONE
TRUE,2.94780276169213,1.69782471656799,P04104,P04104,"Keratin, type II cytoskeletal 1",Krt1,NA,8,65.605,8,4,4,15.2313995361328,15.3661003112793,16.132999420166,15.1171998977661,14.2688999176025,13.4581003189087,13.5637998580933,13.7656002044678,30,MYD88,NONE
TRUE,1.70618138501772,2.22678279876709,P05064;P05063;Q91Y97,P05064,Fructose-bisphosphate aldolase A,Aldoa,NA,25,39.355,7,3,4,16.5231990814209,16.7614994049072,17.2276000976563,NA,15.6955995559692,15.3028001785278,14.059700012207,13.38450050354,30,MYD88,NONE
TRUE,3.14991061441285,1.20650005340576,P05213,P05213,Tubulin alpha-1B chain,Tuba1b,NA,28,50.151,8,4,4,23.1432991027832,23.3880996704102,23.7677001953125,23.0105991363525,22.1812992095947,22.0942993164063,21.8861999511719,22.3218994140625,30,MYD88,NONE
TRUE,3.26533578554902,1.3748254776001,P06151;P00342,P06151,L-lactate dehydrogenase A chain,Ldha,NA,19,36.498,8,4,4,20.1902008056641,20.6793994903564,20.5977001190186,20.9267997741699,19.3659992218018,19.4979991912842,18.8668003082275,19.1639995574951,30,MYD88,NONE
TRUE,1.92395033921205,2.54514956474304,P06240,P06240,Proto-oncogene tyrosine-protein kinase LCK,Lck,NA,10,57.942,8,4,4,17.0522003173828,17.4913997650146,17.9760990142822,15.1714000701904,15.243200302124,14.5841999053955,14.1928005218506,13.4903001785278,30,MYD88,NONE
TRUE,1.57883622666478,2.4019250869751,P06800,P06800,Receptor-type tyrosine-protein phosphatase C,Ptprc,NA,29,144.84,8,4,4,15.7932996749878,15.4435997009277,15.6947002410889,14.9257001876831,14.9469995498657,12.5194997787476,13.5915002822876,11.1915998458862,30,MYD88,NONE
TRUE,2.5870841260845,3.59812498092651,P07091,P07091,Protein S100-A4,S100a4,NA,3,11.721,8,4,4,23.3983001708984,23.5704002380371,24.1214008331299,22.9923000335693,19.150899887085,19.0611000061035,21.9682006835938,19.5097007751465,30,MYD88,NONE
TRUE,1.05071302415567,2.22927522659302,P08249,P08249,"Malate dehydrogenase, mitochondrial",Mdh2,NA,16,35.611,8,4,4,15.1213998794556,16.3687000274658,15.6098003387451,18.9160003662109,15.2609996795654,15.4779996871948,13.9358997344971,12.423900604248,30,MYD88,NONE
TRUE,5.36135266968595,2.45092487335205,P08752;B2RSH2,P08752,Guanine nucleotide-binding protein G(i) subunit alpha-2,Gnai2,NA,19,40.489,8,4,4,22.5459003448486,22.6462993621826,22.6770000457764,22.109899520874,20.2756004333496,20.0032997131348,19.8624992370605,20.0340003967285,30,MYD88,NONE
TRUE,3.86147305778534,1.37582516670227,P0C090,P0C090,Roquin-2,Rc3h2,NA,7,131.29,8,4,4,14.6549005508423,14.7272005081177,15.2052001953125,14.5010004043579,13.3773002624512,13.2795000076294,13.5290002822876,13.3992004394531,30,MYD88,NONE
TRUE,4.04262207391338,1.04604959487915,P10126,P10126,Elongation factor 1-alpha 1,Eef1a1,NA,29,50.113,8,4,4,23.9130992889404,24.2457008361816,24.2248001098633,24.1406993865967,23.0993003845215,23.2451000213623,22.8509006500244,23.1448001861572,30,MYD88,NONE
TRUE,1.90303345614357,1.18900012969971,P10400,P10400,Retrovirus-related Pol polyprotein;Reverse transcriptase;Endonuclease,Pol,NA,2,13.302,8,4,4,18.9207992553711,18.3880004882813,18.3166007995605,17.3516998291016,16.9456996917725,16.9267997741699,17.0494003295898,17.2992000579834,30,MYD88,NONE
TRUE,1.42061092214212,1.7779332002004,P10852,P10852,4F2 cell-surface antigen heavy chain,Slc3a2,NA,18,58.336,7,3,4,15.7479000091553,15.3545999526978,NA,15.168999671936,13.0064001083374,14.7609996795654,12.5380001068115,14.2782001495361,30,MYD88,NONE
TRUE,3.90615093569301,3.08834981918335,P11103,P11103,Poly [ADP-ribose] polymerase 1,Parp1,NA,29,113.1,8,4,4,18.992000579834,19.3458995819092,19.8391990661621,18.2663993835449,15.7246999740601,15.9215002059937,16.2803001403809,16.1635990142822,30,MYD88,NONE
TRUE,1.55548927141581,1.68623352050781,P11438,P11438,Lysosome-associated membrane glycoprotein 1,Lamp1,NA,2,43.865,6,3,3,NA,13.0570001602173,13.8095998764038,14.3351001739502,NA,12.4906997680664,11.3930997848511,12.2592000961304,30,MYD88,NONE
TRUE,2.84600394854213,1.04547500610352,P11499,P11499,Heat shock protein HSP 90-beta,Hsp90ab1,NA,56,83.28,8,4,4,21.4381008148193,21.7618999481201,21.9043998718262,21.9419994354248,20.9465999603271,20.7959003448486,20.2796993255615,20.8423004150391,30,MYD88,NONE
TRUE,1.45860793786344,1.40100002288818,P11928,P11928,2-5-oligoadenylate synthase 1A,Oas1a,NA,1,42.428,6,3,3,14.9366998672485,15.3921003341675,15.6581001281738,NA,14.7128000259399,NA,13.5735998153687,13.4975004196167,30,MYD88,NONE
TRUE,3.29793665056659,1.34872531890869,P11983,P11983,T-complex protein 1 subunit alpha,Tcp1,NA,32,60.448,8,4,4,19.3283996582031,19.5030994415283,19.7205009460449,19.7147006988525,18.5084991455078,18.3894004821777,17.7148990631104,18.2590007781982,30,MYD88,NONE
TRUE,4.16863310797461,3.00235033035278,P13020,P13020,Gelsolin,Gsn,NA,20,85.941,8,4,4,22.2061004638672,22.1154003143311,22.548900604248,21.2161998748779,19.2912998199463,18.8579006195068,18.7800998687744,19.1478996276855,30,MYD88,NONE
TRUE,1.98318456426974,1.20582485198975,P14206,P14206,40S ribosomal protein SA,Rpsa,NA,12,32.838,8,4,4,20.4943008422852,21.0604000091553,21.4244003295898,20.1431007385254,19.6657009124756,19.8952007293701,19.1289005279541,19.6091003417969,30,MYD88,NONE
TRUE,2.80897616116372,1.31672501564026,P14733,P14733,Lamin-B1,Lmnb1,NA,31,66.785,8,4,4,16.4731006622314,16.9139995574951,17.4214992523193,16.9407005310059,15.71519947052,15.641300201416,15.2253999710083,15.9005002975464,30,MYD88,NONE
TRUE,3.42464218487377,3.55597496032715,P15379,P15379,CD44 antigen,Cd44,NA,5,85.616,7,4,3,17.2353992462158,16.7968997955322,17.3157997131348,16.0638008117676,13.8073997497559,13.2992000579834,12.7843999862671,NA,30,MYD88,NONE
TRUE,1.63828708406897,1.27579927444458,P16254,P16254,"Signal recognition particle 14 kDa protein;Signal recognition particle 14 kDa protein, N-terminally processed",Srp14,NA,5,12.51,8,4,4,20.3939990997314,20.3855991363525,21.0359001159668,19.8211994171143,18.7355003356934,19.2884006500244,18.4893989562988,20.0202007293701,30,MYD88,NONE
TRUE,3.49793453785955,1.24777412414551,P16460,P16460,Argininosuccinate synthase,Ass1,NA,19,46.584,8,4,4,21.1891994476318,21.264799118042,21.510799407959,21.1355991363525,20.0428009033203,20.3915996551514,19.6707000732422,20.0041999816895,30,MYD88,NONE
TRUE,2.61024345182652,1.89306640625,P17742,P17742,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed",Ppia,NA,9,17.971,6,3,3,16.7103004455566,16.7731990814209,16.3659992218018,NA,14.7609996795654,15.1335000991821,14.2757997512817,NA,30,MYD88,NONE
TRUE,1.90249547803074,1.43782496452332,P17751,P17751,Triosephosphate isomerase,Tpi1,NA,15,32.191,8,4,4,16.1812000274658,16.2476005554199,16.4151992797852,14.9672994613647,14.2652997970581,15.1077995300293,14.0229997634888,14.6639003753662,30,MYD88,NONE
TRUE,1.86573770788909,1.32404971122742,P17918,P17918,Proliferating cell nuclear antigen,Pcna,NA,14,28.785,8,4,4,16.3243999481201,16.9410991668701,16.1452007293701,16.17799949646,14.3908004760742,15.1907997131348,15.9534997940063,14.7574005126953,30,MYD88,NONE
TRUE,1.83582375931295,2.36952471733093,P18181,P18181,CD48 antigen,Cd48,NA,5,27.383,8,4,4,17.827299118042,17.351900100708,17.6879997253418,15.325400352478,15.434700012207,14.8339004516602,13.6066999435425,14.8392000198364,30,MYD88,NONE
TRUE,3.20831774769994,2.10130023956299,P18760,P18760,Cofilin-1,Cfl1,NA,11,18.559,8,4,4,23.7250003814697,24.029899597168,24.75,23.3397006988525,22.1219005584717,21.725700378418,21.5944995880127,21.9972991943359,30,MYD88,NONE
TRUE,2.63574223685001,1.12324953079224,P19096,P19096,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,Fasn,NA,74,272.43,8,4,4,15.2344999313354,15.3726997375488,15.5819997787476,15.2047996520996,13.6119003295898,14.449800491333,14.40149974823,14.4378004074097,30,MYD88,NONE
TRUE,1.71144392567243,1.63277459144592,P19246;P08553;P08551;P46660,P19246,Neurofilament heavy polypeptide,Nefh,NA,12,116.99,8,4,4,15.9555997848511,16.8099994659424,17.6145992279053,15.8971996307373,14.1147003173828,14.7666997909546,15.5271997451782,15.3376998901367,30,MYD88,NONE
