Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Mol. weight [kDa],Peptides,Valid values,Valid values 15 min,Valid values unstim,Myd88 15 min 1 neu,MyD88 15 min 2 neu,MyD88 15 min 3 neu,MyD88 15 min 4 neu,MyD88 unstim 2 neu,MyD88 unstim 3 neu,MyD88 unstim 4 neu
,0.7645345073,-1.003341834,A2AAE1,A2AAE1,Uncharacterized protein KIAA1109,Kiaa1109,,555.36,2,11,4,3,10.0440855,12.31098557,10.49338627,11.58078575,12.2193861,11.73928547,12.37328625
+,1.741722448,-1.474066893,A2AB59,A2AB59,Rho GTPase-activating protein 27,Arhgap27,,97.047,1,8,2,3,11.38088608,NaN,NaN,11.97808552,12.81288624,13.33678627,13.31098557
,0.9926466215,-0.5934743881,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,,31.992,6,11,4,3,17.33068657,18.10858536,17.04948616,17.43928528,18.19488525,18.26838493,17.7631855
+,2.078519825,-2.310533683,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,,,90.11,11,11,4,3,14.07418537,15.68998528,13.93158531,13.90578556,17.08598518,16.77578545,16.27098656
,1.01288275,-0.353666544,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,,225.63,27,11,4,3,15.29178524,15.10548592,15.15538597,15.66728592,15.84678555,15.6398859,15.48928547
+,2.800735466,2.254091263,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,,74.985,5,8,4,3,13.71958542,13.1011858,13.67768574,13.93158531,12.00728607,11.2601862,10.79278564
+,3.512626925,1.315074603,A2AI08,A2AI08,Taperin,Tprn,,80.088,15,10,4,3,17.28448486,17.03118515,17.03278542,16.81018639,15.81618595,15.8579855,15.49958611
+,2.826563847,-1.460641702,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,,201.44,17,11,4,3,14.74288559,15.07668591,14.19438553,14.60608578,16.20438576,16.22938538,15.91318607
+,1.44305761,-1.664616346,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,,93.275,12,12,4,4,15.95938587,17.68088531,15.88628578,15.79998589,18.25788498,18.30848503,17.42238617
,0.02223848024,-0.02801656723,A2AKG8,A2AKG8,Focadhesin,Focad,,198.95,12,11,4,3,15.68358612,16.08418655,15.04248524,15.31948566,16.07778549,15.82118607,14.78238583
+,1.296382356,-1.542583307,A2AKX3,A2AKX3,Probable helicase senataxin,Setx,,297.59,10,11,4,3,13.07248592,13.69078541,12.41748619,11.6789856,14.70088577,14.5702858,13.50138569
+,3.714418522,2.934299866,A2AL36,A2AL36,Centriolin,Cntrl,,268.88,5,9,4,3,11.36278629,11.00358582,10.45558548,11.30978584,8.118605614,8.446516037,7.730786324
,0.5708315664,-1.084466616,A2ALW5,A2ALW5,DnaJ homolog subfamily C member 25,Dnajc25,,41.937,4,11,4,3,16.02048492,16.56598663,14.60238552,13.88148594,16.61998558,17.16408539,15.27208614
,0.841297678,-1.034916719,A2AN08,A2AN08,E3 ubiquitin-protein ligase UBR4,Ubr4,,572.28,6,11,4,3,12.19338608,12.27378559,11.43278599,11.16778564,13.53888607,13.25238609,11.61428547
+,1.838944319,-1.396100044,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,,85.893,28,12,4,4,17.29228592,18.5471859,17.86688614,17.67398643,19.59378624,19.40228653,18.72748566
,0.549851698,-1.260125001,A2AQ19,A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,,80.796,3,11,4,3,14.69368553,15.35368538,12.88188553,11.5457859,15.20898533,15.02718544,14.40048599
+,2.226703566,-1.331816991,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,,88.324,8,11,4,3,16.63668633,16.49398613,15.69018555,16.09648514,17.79858589,17.66048622,17.22438622
+,2.415028881,-2.940950076,A2ASS6,A2ASS6,Titin,Ttn,,3906.4,5,12,4,4,6.927895546,5.081756592,5.143266678,6.656346321,8.861776352,8.996596336,8.821426392
+,1.921101254,-1.159300327,A2AT37,A2AT37,,Upf2,,147.55,26,11,4,3,16.79438591,16.85608482,16.16598511,16.61388588,18.2176857,17.84178543,17.24118614
+,1.083931391,-1.935246229,A2AWL7,A2AWL7,MAX gene-associated protein,Mga,,328.8,2,11,4,3,8.007966042,10.7723856,7.981025696,8.077635765,10.77906609,11.32958603,9.826346397
,0.3289836286,-0.5046332677,A2BDX3,A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase,Mocs3,,49.374,1,9,3,3,11.42958641,12.54418564,10.76808548,NaN,12.39168549,11.36698627,12.49708557
+,1.587538344,-1.317216317,A2BE28,A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,,89.413,16,12,4,4,16.49308586,16.79018593,15.41588593,15.79618549,17.67528534,17.67268562,16.97518539
+,2.688875372,-1.629199664,A2RSY6,A2RSY6,TRMT1-like protein,Trmt1l,,80.86,17,12,4,4,17.63268661,18.0749855,17.40368652,17.70658493,19.74958611,19.41688538,18.83458519
+,2.025050813,-1.867857933,A3KFM7,A3KFM7,Chromodomain-helicase-DNA-binding protein 6,Chd6,,305.39,7,11,4,3,10.1011858,11.22428608,10.64858627,11.16378593,12.95488548,13.14408588,11.8579855
,1.038436055,-0.9041832288,A6H619,A6H619,PHD and RING finger domain-containing protein 1,Phrf1,,184.08,3,11,4,3,13.16598606,13.63218594,12.79928589,12.47348595,13.54918575,14.68308544,13.53348637
+,1.654793732,-1.436157703,A6PWY4,A6PWY4,WD repeat-containing protein 76,Wdr76,,69.007,8,11,4,3,18.2794857,19.40358543,17.97408676,18.54708672,20.29218483,20.26948547,19.39998627
+,2.804077459,-1.874891281,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,,119.91,25,12,4,4,16.42398643,16.67008591,16.04608536,15.92168617,18.45718575,18.35138512,17.61248589
+,2.806233986,-1.900333166,B1ARD6,B1ARD6,,Slfn9,,103.99,6,11,4,3,13.1242857,13.64218616,12.80658627,13.95208549,15.27578545,15.34768581,15.22138596
+,3.06524926,-2.429424683,B1AX39,B1AX39,Zinc finger CCHC domain-containing protein 7,Zcchc7,,63,3,11,4,3,13.70388603,13.73818588,12.87898636,13.75718594,16.24968529,16.19878578,15.39848614
+,2.747641568,-2.250074943,B1AY10,B1AY10,Transcriptional repressor NF-X1,Nfx1,,123.81,24,12,4,4,16.0192852,16.30698586,15.57238579,15.43138599,18.56258583,18.26338577,17.42178535
+,1.679841744,-1.547774235,B1AZI6,B1AZI6,THO complex subunit 2,Thoc2,,182.77,27,12,4,4,16.12778664,16.9791851,15.52968597,15.65738583,18.14778519,17.63168526,17.08438492
+,2.328779309,-1.575366656,B2KF05,B2KF05,,Brpf3,,135.29,2,9,4,3,9.743585587,10.81918621,9.680286407,9.881285667,11.51918602,11.80038548,11.49978638
+,2.4060259,-1.835066557,B2RQC2,B2RQC2,Ubiquitin carboxyl-terminal hydrolase 42,Usp42,,146.22,10,11,4,3,13.40478611,14.37278557,13.51438618,13.62918568,15.84668541,15.89188576,14.95748615
,0.1649276311,-0.2561244965,B2RQC6,B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,,243.24,54,12,4,4,19.74928665,20.02928543,18.08258629,18.45708656,19.53178596,19.57618523,18.899086
+,2.482810655,-1.591808478,B2RR83,B2RR83,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,,161.09,43,12,4,4,17.20268631,18.06128502,17.05378532,17.35548592,19.21758652,19.15408516,18.65868568
+,1.065427889,-2.959734996,B2RRD7,B2RRD7,,Brpf1,,137.31,4,11,4,3,12.67558575,10.63288593,7.463946342,12.03458595,14.03958607,13.71708584,13.22778606
+,2.031383859,-1.653416316,B2RRE7,B2RRE7,OTU domain-containing protein 4,Otud4,,123.05,26,12,4,4,18.23998642,18.8385849,17.49808502,17.7298851,20.06898499,19.83948517,19.28168488
+,0.813996176,-1.264508247,B2RWS6;P45481,B2RWS6;P45481,Histone acetyltransferase p300;CREB-binding protein,Ep300;Crebbp,,263.3,4,11,4,3,11.71758556,11.35938549,9.829686165,12.76538563,12.4829855,13.2037859,12.36078548
+,2.109896621,-1.332591613,B2RX14,B2RX14,Terminal uridylyltransferase 4,Zcchc11,,184.65,11,11,4,3,13.94178581,14.43868542,13.68168545,13.2716856,15.3589859,14.90638542,15.23278522
,0.8530211478,0.1790830294,B2RXR6,B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,,107.38,8,11,4,3,14.44628525,14.16278553,14.28078556,14.09548569,14.17698574,13.99428558,14.03048611
+,1.603426668,-1.233683109,B2RY56,B2RY56,RNA-binding protein 25,Rbm25,,99.551,11,12,4,4,17.28318596,17.83208656,16.96308517,16.98138618,19.04048538,18.65628624,17.79908562
,0.3593962873,-0.360375007,B7ZNG4,B7ZNG4,Tastin,Troap,,71.958,3,10,4,3,14.29598522,13.98028564,13.25818634,13.32918549,14.74128532,14.00218582,13.48538589
,0.9526903344,0.5922334194,B9EJ86;Q9ER64,B9EJ86,Oxysterol-binding protein,Osbpl8,,101.27,8,11,4,3,14.56618595,14.39878559,14.50668526,14.59628582,14.64448547,13.50408554,13.62568569
,0.1060210601,-0.2433993816,B9EJR8,B9EJR8,"Dynein assembly factor 5, axonemal",Dnaaf5,,93.85,2,9,4,3,11.56518555,11.94928551,9.196315765,11.82618618,10.60945606,11.94158554,11.58188629
+,1.715398413,-1.66951712,C0HKD9;C0HKD8,C0HKD9;C0HKD8,,,,51.954,4,11,4,3,16.04948616,16.37358475,15.07218552,15.20008564,17.74858665,17.69008636,16.59138489
+,2.861537041,-1.753266176,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q6GSS7;Q8R1M2;Q64523;Q8CGP7;P27661;Q64522,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q6GSS7;Q8R1M2;Q64523;Q8CGP7;P27661,Histone H2A type 1-H;Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 2-A;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-K;Histone H2AX,Hist1h2ah;Hist1h2af;Hist3h2a;Hist2h2aa1;H2afj;Hist2h2ac;Hist1h2ak;H2afx,,14.135,5,12,4,4,25.49038506,25.65758514,24.80768585,25.02828598,27.22758484,27.10348511,26.6666851
+,1.164076649,-1.054475228,C6KI89;E9Q355,C6KI89;E9Q355,Cation channel sperm-associated protein subunit gamma 2;Cation channel sperm-associated protein subunit gamma 1,Catsperg2;Catsperg1,,131.42,2,11,4,3,13.51138592,13.37118626,13.05538559,12.86568546,14.91108608,14.58918571,13.26588631
,0.4947019313,-0.8635588487,CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229,CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229,,,+,53.341,3,7,4,3,11.74568558,12.75058556,10.13618565,11.73418617,13.24838638,12.69148636,11.42578602
+,2.988748804,-2.396424691,CON__ENSEMBL:ENSBTAP00000024146,CON__ENSEMBL:ENSBTAP00000024146,,,+,164.34,10,11,4,4,12.35928631,11.7502861,12.3256855,12.66218567,14.89248562,15.08268547,14.03718567
,0.3414419347,0.6017949581,CON__P00735;P19221,CON__P00735;P19221,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,F2,+,70.505,2,7,4,2,12.05798626,12.12088585,13.30868626,13.02908611,11.12474632,NaN,12.929986
,0.1271762758,0.6874165535,CON__P00761,CON__P00761,,,+,24.409,3,12,4,4,23.9975853,24.51908493,23.29738617,23.76408577,26.01488495,18.48678589,25.11968613
,0.8764021866,0.737391154,CON__P01966,CON__P01966,,,+,15.184,4,12,4,4,16.99128532,17.55678558,16.81238556,17.18678474,16.7808857,16.88908577,15.52828598
+,1.009197111,-2.311375618,CON__P02533;CON__Q61782,CON__P02533,,,+,51.621,47,12,4,4,17.89038658,21.15598488,20.21348572,19.35018539,23.80388641,21.39328575,20.69448662
,0.4721599161,-1.623516321,CON__P02538;CON__Q8VED5;Q8VED5;CON__P07744;P07744;CON__Q9H552;CON__H-INV:HIT000016045;CON__REFSEQ:XP_932229,CON__P02538,,,+,60.044,63,12,4,4,12.34898567,18.00908661,16.76548576,14.98858547,17.37028503,18.01878548,16.06558609
+,2.170885261,-2.716150045,CON__P02662,CON__P02662,,,+,22.975,4,12,4,4,13.81268597,14.10208607,11.8273859,13.10478592,15.93118572,15.67938614,16.17308617
+,0.7224643926,-1.740832965,CON__P02666,CON__P02666,,,+,23.583,1,7,3,3,NaN,16.10078621,12.64168549,13.17028618,15.64828587,16.15708542,15.32988548
+,1.975898189,-2.784499804,CON__P02768-1,CON__P02768-1,,,+,69.366,27,12,4,4,14.44858551,14.49708557,13.59738636,15.6704855,18.36498642,17.29608536,16.35258484
+,3.583143351,-4.774874846,CON__P02769,CON__P02769,,,+,69.293,47,12,4,4,19.96908569,19.36448669,18.2210865,19.96498489,24.55048561,23.77518654,24.13868523
+,0.7655844435,-1.354833603,CON__P04259,CON__P04259,,,+,59.998,64,12,4,4,20.35278511,23.72218513,22.00498581,21.4187851,23.51348495,23.31988525,22.85518646
+,1.266729105,-1.53817447,CON__P04264,CON__P04264,,,+,66.017,61,12,4,4,23.28288651,25.64198494,24.17938614,24.34138489,26.41158485,25.65058517,25.63658524
,0.2082633406,0.2093246778,CON__P06868,CON__P06868,,,+,91.215,4,9,4,3,13.70398617,14.16428566,14.23428535,14.06228542,14.69108582,13.58288574,13.22168636
,0.7115061729,-1.137350241,CON__P08730-1;P08730,CON__P08730-1;P08730,"Keratin, type I cytoskeletal 13",Krt13,+,47.754,11,8,2,4,NaN,12.3073864,NaN,10.95568562,13.2271862,12.06578636,13.01368618
+,1.835094795,-2.506076018,CON__P08779;Q9WTL4,CON__P08779,,,+,51.267,52,12,4,4,20.83018494,22.10698509,21.54388618,21.02858543,25.27728653,23.4384861,22.93468666
+,1.939299064,-3.244075537,CON__P12763,CON__P12763,,,+,38.418,6,12,4,4,16.24388504,17.08708572,15.80908585,15.37078571,20.73748589,19.5688858,17.80898666
+,1.538335936,-1.798449516,CON__P13645;CON__Q7Z3Y7;CON__Q2M2I5;CON__P05784;P05784;A6BLY7;CON__Q7Z3Y9;Q9Z320;A1L317,CON__P13645,,,+,59.51,42,12,4,4,22.86658669,25.1320858,23.47758484,23.87348557,26.02158546,25.5831852,25.30288506
+,1.743563841,-2.512925466,CON__P13646-1,CON__P13646-1,,,+,49.586,21,12,4,4,15.97238541,16.55678558,17.03168488,16.65058517,18.84448624,20.56798553,17.78488541
+,1.458799783,-1.777750174,CON__P13647,CON__P13647,,,+,62.378,60,12,4,4,19.10648537,21.25558662,20.1143856,20.00648499,22.65868568,21.71788597,21.3188858
+,2.527884715,-1.845591704,CON__P15636,CON__P15636,,,+,68.124,14,12,4,4,24.71068573,25.74938583,24.64518547,25.04218674,27.19348526,26.94168663,26.51218605
+,1.561450858,-3.21698308,CON__P19013,CON__P19013,,,+,63.91,13,11,4,3,10.94188595,12.12098598,14.49328613,14.42398548,16.33648491,16.31978607,15.97978592
+,2.157643407,-2.759183327,CON__P20930,CON__P20930,,,+,435.16,16,12,4,4,10.25358582,9.683285713,11.6205864,10.44988632,14.11408615,13.20708561,12.46188641
+,3.166005814,-6.650583267,CON__P34955,CON__P34955,,,+,46.103,9,12,4,4,14.06118584,14.65538597,12.33338547,12.80858612,21.51808548,19.84588623,18.98168564
+,1.660240614,-1.766683261,CON__P35527,CON__P35527,,,+,62.129,44,12,4,4,22.73388481,24.25558662,23.63938522,23.51848602,26.22578621,24.71378517,24.97098541
+,1.697093369,-1.834608237,CON__P35908;Q6IFZ9,CON__P35908,,,+,65.865,54,12,4,4,21.09178543,23.07018661,21.39928627,22.23038483,23.60568619,24.12958527,23.61228561
+,1.039090774,-2.714174747,CON__P48668,CON__P48668,,,+,60.024,63,10,4,3,14.47818565,17.71238518,18.04768562,16.35858536,19.63148499,19.09528542,NaN
+,2.213349334,-2.808241367,CON__Q01546,CON__Q01546,,,+,65.87,14,12,4,4,9.948085785,11.83868599,10.12568569,10.76718616,13.37568569,14.25678539,12.80198574
+,0.9792682083,-3.12600859,CON__Q04695;CON__Q9D312;Q9D312;CON__Q8N1A0;Q8CCX5,CON__Q04695,,,+,48.105,45,12,4,4,15.96108532,19.96388626,18.252285,16.0627861,23.15558624,20.22938538,18.67308617
+,2.223135454,-5.056533337,CON__Q0IIK2;CON__Q29443,CON__Q0IIK2;CON__Q29443,,,+,77.738,24,12,4,4,17.4309864,17.55898476,15.32258606,14.61058617,22.62028503,21.38158607,19.86008644
+,2.780612749,-3.447641532,CON__Q9UE12;CON__Q15323,CON__Q9UE12;CON__Q15323,,,+,47.237,14,12,4,4,12.12708569,13.04528618,11.56948566,12.55538559,16.6619854,14.92258549,15.73128605
,0.9543970356,-0.6504249573,CON__Q1RMK2,CON__Q1RMK2,,,+,65.056,5,10,4,3,14.89288616,15.76548576,14.72958565,15.12268543,15.65838528,16.24328613,15.43258572
+,2.520501532,1.429682891,CON__Q28107;O88783,CON__Q28107,,,+,248.98,12,11,4,3,14.25968552,14.26808548,13.58508587,14.15088558,12.79918575,12.90908623,12.20048618
,0.6698905327,-1.175266584,CON__Q2UVX4,CON__Q2UVX4,,,+,187.37,5,9,4,4,12.3565855,13.23988628,10.63188553,11.29438591,14.06678581,12.95788574,12.14318562
+,1.273904194,1.135308266,CON__Q3SX09,CON__Q3SX09,,,+,22.06,5,11,4,3,18.06258583,18.45118523,18.1544857,18.32518578,17.5525856,17.71808624,16.06848526
+,1.406649021,1.347116232,CON__Q3SX14,CON__Q3SX14,,,+,85.686,12,10,4,4,14.77038574,15.57778549,14.91708565,15.11848545,13.52678585,14.74798584,12.97168636
,1.407263129,-0.6639830271,CON__Q3ZBS7;P29788,CON__Q3ZBS7,,,+,54.099,6,12,4,4,17.96488571,17.11528587,17.46548653,17.72688675,18.06018639,18.47348595,18.16268539
+,0.8947960092,-1.552183469,CON__Q5D862;Q2VIS4,CON__Q5D862,,,+,248.07,22,12,4,4,12.62158585,14.73538589,15.55888557,13.99868584,16.75958633,15.50848579,15.07438564
+,0.9644567458,-1.308925152,CON__Q6IME9;Q6IME9;CON__Q14CN4-1,CON__Q6IME9;Q6IME9;CON__Q14CN4-1,"Keratin, type II cytoskeletal 72",Krt72,+,56.75,8,12,4,4,15.12648582,17.77808571,16.10738564,16.15188599,17.98038673,17.30908585,17.51018524
+,1.530901236,-2.62875843,CON__Q6KB66-1;CON__Q0VBK2;Q0VBK2,CON__Q6KB66-1,,,+,50.525,19,12,4,4,11.25038624,14.25958538,13.73728561,13.88098526,16.65168571,15.65508556,15.42568588
+,0.9274820982,-1.264125427,CON__Q8N1N4-2;CON__Q7RTT2,CON__Q8N1N4-2;CON__Q7RTT2,,,+,56.964,24,12,4,4,15.37868595,17.90018654,17.19038582,17.53098488,18.45828629,18.02098656,18.31328583
,0.8501440545,-1.054974953,CON__Q7Z794,CON__Q7Z794,,,+,61.802,21,12,4,4,14.24338531,16.06448555,15.25348568,16.2502861,16.774086,15.86998558,16.87958527
+,1.085637968,-1.801350594,CON__Q86YZ3,CON__Q86YZ3,,,+,282.39,48,12,4,4,14.74548531,17.41248512,17.75628662,16.20228577,18.74368668,18.31608582,17.9316864
,0.1330796803,-0.3736333847,CON__Q9C075;CON__Q99PS0;Q99PS0,CON__Q9C075,,,+,48.131,13,10,3,3,NaN,11.87588596,9.92888546,12.28648567,12.23828602,NaN,11.23648548
,0.8824652611,-0.4682839712,CON__Q9N2I2,CON__Q9N2I2,,,+,45.296,1,6,3,2,11.80678558,NaN,11.68248558,12.26038551,12.39858627,NaN,12.37108612
,0,-2.116500537,CON__Q9NSB4;Q99M74,CON__Q9NSB4;Q99M74,"Keratin, type II cuticular Hb2",Krt82,+,56.682,5,8,1,4,11.19508553,NaN,NaN,NaN,13.44278622,14.00288582,12.48908615
+,1.136926068,-1.493291457,CON__Q9TRI1,CON__Q9TRI1,,,+,106.19,3,11,4,3,11.64548588,12.82728577,11.21348572,13.45198631,13.59898567,14.3504858,13.38408566
,0.7237724531,-0.6791329384,CON__Q9U6Y5,CON__Q9U6Y5,,,+,28.106,6,12,4,4,21.55208588,22.91278648,21.65078545,21.76028633,23.06448555,22.7869854,22.09288597
+,2.851420311,-1.720391512,D2EAC2,D2EAC2,Zinc finger BED domain-containing protein 6,Zbed6,,109.15,5,11,4,3,12.36548615,13.21548557,13.0780859,13.14478588,14.39758587,14.95968533,14.65678596
+,1.293065689,-1.111641645,D3YXK1,D3YXK1,Atherin,Samd1,,54.532,4,12,4,4,14.90968609,15.3341856,14.32308578,13.73068523,15.80078602,15.3664856,15.89088535
+,3.013597503,-1.731724739,D3YXK2,D3YXK2,Scaffold attachment factor B1,Safb,,105.1,14,12,4,4,15.3093853,15.9737854,16.13878632,15.51268578,17.66178513,17.2468853,17.48748589
,0.08345974397,-0.07904998461,E9PVA8,E9PVA8,,Gcn1l1,,293.02,17,12,4,4,13.05098629,13.98738575,12.92298603,13.0559864,13.53558636,13.54798603,12.91658592
+,2.243805307,-1.681724548,E9PVX6,E9PVX6,,Mki67,,350.86,86,12,4,4,17.52288628,18.10958672,17.10018539,17.63318634,19.61948586,19.56728554,18.6327858
+,1.795990417,-1.472291629,E9PYI1,E9PYI1,,Zfp568,,77.116,4,10,4,3,14.47398567,15.45938587,15.10218525,14.38468552,16.84018517,16.43718529,15.70468616
+,3.412762051,-1.083408515,E9PZJ8,E9PZJ8,Activating signal cointegrator 1 complex subunit 3,Ascc3,,250.55,41,12,4,4,16.56338501,16.64008522,16.40118599,16.3073864,17.7516861,17.5634861,17.36908531
+,2.818633973,-1.43426617,E9PZM4,E9PZM4,Chromodomain-helicase-DNA-binding protein 2,Chd2,,210.8,11,12,4,4,13.59308624,13.96918583,13.37208557,13.3127861,15.24058533,15.0909853,14.65658569
+,0.987317725,-1.837258339,E9Q286,E9Q286,Little elongation complex subunit 1,Ice1,,242.25,5,11,4,3,13.13178635,13.75248528,11.10418606,10.82898617,14.59928608,14.24488544,13.28068638
,0.9156776426,-0.5824635824,E9Q394,E9Q394,,Akap13,,303.97,2,10,3,3,NaN,10.14308548,9.627685547,10.37958622,10.27702618,10.66183567,10.95888615
,1.77456043,0.8171167374,E9Q3L2,E9Q3L2,,Pi4ka,,237.04,20,11,4,3,14.62728596,15.12448597,14.31638527,14.64678574,14.14818573,13.75948524,13.67718601
,0.7965272786,-1.034541845,E9Q4F7,E9Q4F7,,Ankrd11,,296.18,3,11,4,3,10.68958569,12.23698616,11.56988621,11.41198635,12.75818634,13.40478611,11.37198639
,1.344113166,-0.8778665066,E9Q555,E9Q555,E3 ubiquitin-protein ligase RNF213,Rnf213,,584.78,37,12,4,4,13.53998566,14.30208588,13.17608547,13.55418587,14.74908543,14.71488571,14.09888554
+,1.06866701,-2.880741278,E9Q557,E9Q557,Desmoplakin,Dsp,,332.91,97,12,4,4,11.90048599,15.65698528,15.23928547,16.64608574,19.09278488,17.25688553,16.87468529
,0.822645386,-0.8459835052,E9Q5C9,E9Q5C9,,Nolc1,,73.697,5,12,4,4,15.78718567,16.31218529,16.08028603,16.10208511,17.63378525,17.33818626,15.77728558
+,3.205576687,-1.857983033,E9Q5F9,E9Q5F9,Histone-lysine N-methyltransferase SETD2,Setd2,,285.66,9,11,4,3,12.40228558,12.59458637,12.64218616,12.70788574,14.82298565,14.60528564,13.9058857
+,2.372902627,-1.542866389,E9Q5G3,E9Q5G3,Kinesin-like protein KIF23,Kif23,,108.77,32,12,4,4,18.2217865,18.73228645,17.66958618,17.93988609,19.81768608,19.91898537,19.31458664
+,1.698994842,-2.212632974,E9Q5K9,E9Q5K9,YTH domain-containing protein 1,Ythdc1,,85.648,3,11,4,3,16.42008591,17.40388489,15.10258579,15.58298588,18.56748581,18.75858498,17.69398499
,2.265449316,0.6772081057,E9Q634;P70248,E9Q634,Unconventional myosin-Ie,Myo1e,,126.82,44,12,4,4,22.23848534,22.2998848,21.82288551,22.26778603,21.56238556,21.53438568,21.3433857
,0.9004901153,-0.9345143636,E9Q6E9,E9Q6E9,,Simc1,,146.62,2,8,4,3,10.01738548,10.4554863,8.588115692,10.17408562,11.01675606,10.50020599,10.71288586
+,1.892354023,-1.78715841,E9Q784,E9Q784,,Zc3h13,,203.75,20,12,4,4,15.47678566,16.91308594,15.72078609,15.96398544,18.36188507,17.88898659,17.16658592
+,2.470547367,-1.763425032,E9Q7F2,E9Q7F2,E3 ubiquitin-protein ligase RNF169,Rnf169,,75.795,5,11,4,3,13.23678589,13.92328548,13.54358578,12.87618637,15.43148613,15.38758564,14.65608597
+,2.552928471,-1.74190855,E9Q7G0,E9Q7G0,,Numa1,,235.63,51,12,4,4,16.20738602,16.97288513,16.08328629,16.18208504,18.44558525,18.23958588,17.62478638
