Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Mol. weight [kDa],Valid values,Valid values 30 min,Valid values unstim,30 min_1 neu,30 min_2 neu,30 min_3 neu,30 min_4 neu,unstim_1 neu,unstim_2 neu,unstim_3 neu,unstim_4 neu
,0.9480418927,0.3977003098,Q8CGP5;Q8BFU2;Q8CGP6;C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8R1M2;Q8CGP7;Q6GSS7;Q64523,Q8CGP5;Q8BFU2;Q8CGP6;C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8R1M2;Q8CGP7;Q6GSS7;Q64523,Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 1-K;Histone H2A type 2-A;Histone H2A type 2-C,Hist1h2af;Hist3h2a;Hist1h2ah;H2afj;Hist1h2ak;Hist2h2aa1;Hist2h2ac,,10,14.161,8,4,4,26.84889984,27.18000031,26.64179993,26.57460022,26.20369911,26.72699928,26.06130028,26.66250038
,1.965685556,0.9786415895,CON__ENSEMBL:ENSBTAP00000007350;CON__P01030,CON__ENSEMBL:ENSBTAP00000007350;CON__P01030,,,+,4,192.99,7,3,4,13.5326004,13.15880013,13.18270016,NaN,12.68060017,11.7911005,12.4861002,12.29310036
+,2.195884678,2.16367507,CON__ENSEMBL:ENSBTAP00000031360,CON__ENSEMBL:ENSBTAP00000031360,,,+,1,54.678,6,4,2,13.33290005,12.57830048,13.26539993,12.36289978,NaN,11.03719997,NaN,10.4052
+,1.834969423,1.421849966,CON__P01966,CON__P01966,,,+,2,15.184,6,2,4,16.12409973,16.27020073,NaN,NaN,15.3597002,14.40280056,14.91639996,14.42230034
,0.6450132808,0.9752745628,CON__P02533;Q6IFX2;CON__Q6IFX2;CON__Q61782,CON__P02533,,,+,27,51.621,8,4,4,20.79439926,20.53179932,22.92919922,21.56229973,20.5135994,21.00830078,19.10829926,21.28639984
,0,-1.191699664,P02535;CON__P02535-1,P02535;CON__P02535-1,"Keratin, type I cytoskeletal 10",Krt10,+,11,57.769,4,3,1,16.52140045,NaN,13.89680004,15.07859993,NaN,16.3572998,NaN,NaN
,0.7307594718,1.421175003,CON__P02538;CON__H-INV:HIT000292931;Q99M73;CON__H-INV:HIT000016045,CON__P02538,,,+,32,60.044,8,4,4,15.8288002,16.32069969,18.77319908,17.36899948,17.12339973,15.1868,13.94779968,16.34899902
,0.2079147864,-1.159532547,CON__P02768-1,CON__P02768-1,,,+,20,69.366,8,4,4,13.8295002,9.947770119,13.90579987,16.72850037,13.81449986,13.20800018,12.19169998,19.83550072
,1.123227218,0.9003005028,CON__P02769,CON__P02769,,,+,43,69.293,8,4,4,19.75289917,18.87380028,19.48530006,18.72030067,18.64419937,18.29290009,17.36619949,18.92779922
,0.6727254823,1.224824905,CON__P04259,CON__P04259,,,+,32,59.998,8,4,4,18.67149925,19.29949951,22.0890007,20.06089973,19.43530083,19.13369942,17.41329956,19.23929977
,1.042718745,1.052974701,CON__P04264,CON__P04264,,,+,39,66.017,8,4,4,25.6371994,25.64640045,26.78230095,26.63909912,25.20330048,25.37290001,23.95750046,25.95940018
+,3.308995046,3.057124853,CON__P06868,CON__P06868,,,+,4,91.215,8,4,4,14.97459984,15.24860001,15.87949944,13.88549995,11.49569988,12.08080006,12.28660011,11.89659977
,0.6683883703,1.194124699,CON__P08779;Q9Z2K1;CON__Q9Z2K1;CON__Q3ZAW8,CON__P08779,,,+,21,51.267,8,4,4,17.84359932,18.27529907,21.05550003,18.84250069,17.97739983,18.75040054,16.46610069,18.04649925
,0.006803508113,-0.02474999428,CON__P12035,CON__P12035,,,+,18,64.503,8,4,4,14.14900017,13.99769974,14.92160034,14.5770998,17.13019943,13.04040051,11.88329983,15.69050026
+,1.77405333,1.406399727,CON__P13645;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Z0,CON__P13645,,,+,32,59.51,8,4,4,26.01059914,25.29719925,26.31669998,26.54800034,25.0984993,24.89690018,23.6522007,24.89929962
,0.377362597,-1.658799887,CON__P13646-1,CON__P13646-1,,,+,17,49.586,7,4,3,12.34130001,17.97290039,16.3071003,17.62030029,18.61560059,15.11400032,NaN,19.4279995
,1.174896114,1.224174976,CON__P13647,CON__P13647,,,+,33,62.378,8,4,4,21.57369995,21.24510002,22.93670082,22.08779907,20.93510056,21.12240028,19.54669952,21.3423996
,2.229066102,0.5535998344,CON__P15636,CON__P15636,,,+,15,68.124,8,4,4,25.3817997,25.69639969,25.66189957,25.35350037,25.12509918,24.8383007,24.76799965,25.14780045
,0.1722085662,1.073624214,CON__P19013,CON__P19013,,,+,13,63.91,7,3,4,NaN,17.34499931,15.34869957,17.58569908,18.07500076,13.00349998,11.75969982,19.90649986
+,1.424053942,1.927719831,CON__P20930,CON__P20930,,,+,6,435.16,8,4,4,11.80420017,10.71210003,11.82149982,10.05230999,8.140089989,10.1576004,8.187200546,10.19433975
,0.6811090929,0.8850498199,CON__P35527,CON__P35527,,,+,27,62.129,8,4,4,24.29560089,24.7064991,26.19949913,25.85630035,23.84930038,24.82679939,23.47920036,25.36240005
+,1.881236619,1.46192503,CON__P35908;Q6IFZ9;CON__REFSEQ:XP_932229,CON__P35908,,,+,45,65.865,8,4,4,24.86989975,24.79649925,25.75390053,25.83200073,23.98740005,24.17340088,22.92779922,24.31599998
+,1.855055594,1.550975323,CON__P35908v2,CON__P35908v2,,,+,45,65.432,8,4,4,18.33979988,17.68110085,17.18029976,17.58419991,17.01589966,16.38949966,15.18739986,15.98869991
,0.3255844063,0.7394502163,CON__P48668,CON__P48668,,,+,32,60.024,8,4,4,15.97529984,16.46269989,19.56200027,17.73270035,17.27449989,17.27869987,15.08039951,17.1413002
,0.1697490289,0.5913667679,CON__Q01546,CON__Q01546,,,+,15,65.87,6,3,3,13.41489983,NaN,14.40910053,13.32299995,15.22379971,13.31070042,10.83839989,NaN
,0.2856071818,0.6943252087,CON__Q04695;Q99PS0;CON__Q99PS0,CON__Q04695,,,+,18,48.105,8,4,4,14.06040001,14.92000008,18.34679985,16.42790031,15.2972002,16.27949905,14.76309967,14.63800049
+,3.403451199,1.579750299,CON__Q1RMK2,CON__Q1RMK2,,,+,10,65.056,8,4,4,18.06920052,18.12989998,18.39629936,18.05319977,16.67910004,16.83709908,16.84449959,15.96889973
+,1.882285372,1.211524725,CON__Q28107,CON__Q28107,,,+,12,248.98,8,4,4,16.11719894,15.59290028,15.9513998,14.76430035,14.77740002,13.95839977,14.53450012,14.30940056
,0,1.39964962,CON__Q2UVX4,CON__Q2UVX4,,,+,8,187.37,5,4,1,10.94830036,10.98120022,13.03690052,11.45419979,NaN,10.2055006,NaN,NaN
+,1.293790529,1.451450348,CON__Q32MB2,CON__Q32MB2,,,+,6,58.923,8,4,4,18.92340088,18.75099945,20.66860008,19.61730003,18.2614994,18.31080055,16.85669899,18.72550011
,0,NaN,CON__Q3KNV1;CON__P08729,CON__Q3KNV1;CON__P08729,,,+,6,51.385,3,3,0,NaN,13.59100056,15.94760036,14.2996006,NaN,NaN,NaN,NaN
+,3.623405239,3.100800753,CON__Q3SX14,CON__Q3SX14,,,+,20,85.686,8,4,4,19.35740089,18.90710068,19.70030022,18.66580009,16.95849991,16.03999901,15.79349995,15.43540001
+,2.44257414,1.259876251,CON__Q3ZBS7;P29788,CON__Q3ZBS7,,,+,5,54.099,8,4,4,17.66340065,17.76440048,17.93320084,16.76600075,16.47340012,16.09639931,16.28159904,16.23609924
+,2.636191658,1.778124571,CON__Q5D862;Q2VIS4,CON__Q5D862,,,+,8,248.07,8,4,4,15.88140011,14.87339973,15.84500027,15.97639942,14.05940056,14.08139992,13.15480042,14.16810036
,0.1329416946,-0.5732827187,CON__Q6KB66-1;Q0VBK2;CON__Q0VBK2,CON__Q6KB66-1,,,+,3,50.525,8,4,4,15.52120018,9.497369766,16.53079987,13.03859997,14.00720024,14.67570019,13.1026001,15.09560013
,1.188353721,1.126274586,CON__Q8N1N4-2;CON__Q7RTT2,CON__Q8N1N4-2;CON__Q7RTT2,,,+,14,56.964,8,4,4,19.33349991,18.01569939,19.49679947,19.11030006,18.1298008,18.1257,16.77059937,18.42510033
+,1.524651725,1.776475191,CON__Q7Z794,CON__Q7Z794,,,+,19,61.802,8,4,4,18.47459984,16.6026001,18.47450066,17.52389908,16.40799904,15.92669964,14.80080032,16.83419991
,0.7000582656,0.8755500317,CON__Q86YZ3,CON__Q86YZ3,,,+,17,282.39,8,4,4,16.5230999,16.12080002,17.95870018,16.38330078,15.26490021,16.46800041,14.96440029,16.78639984
+,1.656998541,1.558424711,CON__Q9C075,CON__Q9C075,,,+,4,48.131,6,2,4,NaN,NaN,13.60739994,14.63850021,12.71010017,12.75880051,11.98770046,12.80150032
,0.4825654303,0.3090753555,CON__Q9U6Y5,CON__Q9U6Y5,,,+,7,28.106,8,4,4,22.22830009,22.02090073,22.93569946,21.73040009,22.32970047,21.77519989,21.81209946,21.76199913
,1.408832502,0.8538501263,D3YXK1,D3YXK1,Atherin,Samd1,,3,54.532,8,4,4,14.36170006,15.06480026,13.69980049,14.82330036,13.48390007,13.94910049,13.39920044,13.70199966
,0.5947688073,0.5542998314,D3YXK2,D3YXK2,Scaffold attachment factor B1,Safb,,12,105.1,8,4,4,16.73449898,16.87050056,17.65920067,15.73709965,16.59300041,16.0447998,15.72539997,16.42090034
,0,NaN,E2JF22,E2JF22,Piezo-type mechanosensitive ion channel component 1,Piezo1,,3,292,3,0,3,NaN,NaN,NaN,NaN,10.8362999,11.11170006,10.97640038,NaN
,0.1654279103,0.2266249657,E9PVA8,E9PVA8,,Gcn1l1,,76,293.02,8,4,4,11.86250019,12.43000031,13.34679985,11.32419968,12.08860016,12.65030003,11.18379974,12.13430023
,1.389461074,0.450799942,E9PVX6,E9PVX6,,Mki67,,69,350.86,8,4,4,17.53059959,17.64119911,18.0298996,17.46680069,17.19849968,17.28779984,16.90360069,17.47539902
,1.424819462,0.7043757439,E9PZJ8,E9PZJ8,Activating signal cointegrator 1 complex subunit 3,Ascc3,,39,250.55,8,4,4,17.2378006,17.45820045,17.60589981,16.65360069,16.81030083,16.60249901,16.06489944,16.6602993
,0.9128888719,1.270649672,E9Q286,E9Q286,Little elongation complex subunit 1,Ice1,,4,242.25,8,4,4,11.31169987,12.63739967,13.60659981,13.10099983,10.3760004,11.82240009,10.76900005,12.60669994
,0.6224927005,1.863008658,E9Q349,E9Q349,WD repeat-containing protein 25,Wdr25,,2,58.479,5,3,2,11.79820061,11.83839989,NaN,8.880260468,NaN,NaN,9.127240181,8.824649811
+,1.43042718,3.990213315,E9Q394,E9Q394,,Akap13,,6,303.97,7,4,3,9.856300354,13.71829987,14.11929989,14.12610054,8.081009865,8.165650368,10.64770031,NaN
+,0.7516418729,5.76960055,J3QMK6;E9Q3E1,J3QMK6;E9Q3E1,Aldehyde dehydrogenase,1700055N04Rik;Aldh3b2,,2,53.119,5,2,3,19.10169983,NaN,24.41710091,NaN,20.04529953,14.05910015,13.86499977,NaN
+,1.419617501,1.689850092,E9Q3L2,E9Q3L2,,Pi4ka,,22,237.04,8,4,4,15.13319969,12.9005003,14.80290031,13.71860027,12.79160023,11.83710003,11.80459976,13.36250019
,1.552082222,1.22922492,E9Q555,E9Q555,E3 ubiquitin-protein ligase RNF213,Rnf213,,58,584.78,8,4,4,13.31439972,13.54150009,14.27880001,12.28970051,12.28340054,12.35640049,11.86569977,12.00199986
,1.588937763,0.815125227,E9Q557,E9Q557,Desmoplakin,Dsp,,17,332.91,8,4,4,16.49650002,16.60129929,17.56710052,16.70569992,16.21299934,15.78209972,15.83279991,16.28219986
,2.388879017,0.7524995804,E9Q5C9,E9Q5C9,,Nolc1,,14,73.697,8,4,4,15.35770035,15.52489948,15.78689957,15.28439999,14.41950035,15.00940037,14.68710041,14.82789993
,0.4897578425,0.9787824154,E9Q5F9,E9Q5F9,Histone-lysine N-methyltransferase SETD2,Setd2,,7,285.66,8,4,4,10.99769974,10.17730045,12.63510036,10.03524971,10.26749992,10.75870037,10.94029999,7.963720322
,1.954730594,1.016025543,E9Q5G3,E9Q5G3,Kinesin-like protein KIF23,Kif23,,26,108.77,8,4,4,19.68219948,19.87960052,20.21859932,19.10390091,18.83009911,18.54249954,18.37199974,19.07559967
,1.204152402,0.5315499306,E9Q5K9,E9Q5K9,YTH domain-containing protein 1,Ythdc1,,4,85.648,8,4,4,18.16399956,18.11800003,18.69499969,18.39229965,17.96839905,17.93919945,17.24410057,18.09140015
+,4.142905564,2.729424953,E9Q634;P70248,E9Q634,Unconventional myosin-Ie,Myo1e,,38,126.82,8,4,4,22.68939972,22.83550072,23.40069962,22.15699959,20.26169968,20.00209999,19.71190071,20.18919945
,1.717870329,0.7419497967,E9Q784,E9Q784,,Zc3h13,,13,203.75,8,4,4,16.45070076,16.60269928,16.99889946,16.47360039,15.82789993,15.86050034,15.45930004,16.41040039
,0.7402932112,-0.6212253571,E9Q7E2,E9Q7E2,,Arid2,,10,195.99,8,4,4,13.08370018,11.5532999,12.33370018,11.78629971,13.20330048,12.76879978,12.17320061,13.09660053
,0.8200396141,1.542399724,E9Q7F2,E9Q7F2,E3 ubiquitin-protein ligase RNF169,Rnf169,,3,75.795,7,4,3,14.81360054,14.87370014,14.91069984,13.60439968,12.30290031,NaN,11.7524004,14.96930027
,2.165474666,0.6381998062,E9Q7G0,E9Q7G0,,Numa1,,67,235.63,8,4,4,16.43519974,16.57069969,16.66839981,16.30389977,15.76060009,15.8217001,15.6012001,16.24189949
,1.010031151,0.8569252491,E9Q8D0,E9Q8D0,,Dnajc21,,5,61.734,8,4,4,17.84429932,16.45289993,17.85169983,16.52370071,15.77789974,16.50160027,16.30469894,16.66069984
,3.00199551,0.9521255493,E9QAM5,E9QAM5,Helicase with zinc finger domain 2,Helz2,,52,331.56,8,4,4,17.95260048,17.99290085,18.4260006,17.80949974,17.06220055,17.15550041,16.86689949,17.28789902
+,3.301148037,1.959574461,E9QAT4,E9QAT4,,Sec16a,,23,254.2,8,4,4,16.55719948,16.87719917,15.99409962,15.76990032,14.41190052,13.93400002,14.49979973,14.51440048
,1.365169368,1.192466736,F6VAN0,F6VAN0,Cyclic AMP-dependent transcription factor ATF-6 alpha;Processed cyclic AMP-dependent transcription factor ATF-6 alpha,Atf6,,5,72.694,5,3,2,13.61470032,NaN,14.19620037,13.68589973,NaN,12.99139977,12.28820038,NaN
,0.457286031,1.234639883,F6ZDS4,F6ZDS4,Nucleoprotein TPR,Tpr,,48,273.99,8,4,4,9.937000275,11.86730003,11.80889988,13.95359993,8.055840492,12.07419968,10.95660019,11.54160023
+,3.070542132,1.52927494,G3X9J0,G3X9J0,,Sipa1l3,,42,195.06,8,4,4,19.15060043,19.12820053,19.48810005,18.40180016,17.66180038,17.33320045,17.35510063,17.70149994
,1.093914274,0.5303332011,G3XA57,G3XA57,Rab11 family-interacting protein 2,Rab11fip2,,2,58.206,6,3,3,12.90499973,13.09060001,13.15550041,NaN,12.42350006,12.20499992,NaN,12.93160057
,1.415469585,1.18663311,G5E829;Q9R0K7;Q6Q477,G5E829,Plasma membrane calcium-transporting ATPase 1,Atp2b1,,13,134.75,6,3,3,NaN,15.02390003,15.9762001,15.18429947,NaN,14.0156002,13.89280033,14.71609974
+,2.296722281,3.512549639,G5E861,G5E861,Sodium channel and clathrin linker 1,Sclt1,,2,80.491,6,4,2,14.69980049,15.45189953,15.9204998,16.69260025,NaN,12.08880043,12.26850033,NaN
,2.122614718,0.7506752014,G5E870,G5E870,E3 ubiquitin-protein ligase TRIP12,Trip12,,35,224.13,8,4,4,17.54260063,17.60000038,17.98340034,17.22069931,17.03280067,16.75429916,16.56870079,16.98819923
,2.917928763,0.8806750774,L0N7N1,L0N7N1,Kinesin-like protein KIF14,Kif14,,20,186.44,8,4,4,16.13940048,16.33670044,16.15029907,15.86999989,15.06900024,15.45460033,15.00659943,15.44349957
,0.8528447199,1.077299833,O08528,O08528,Hexokinase-2,Hk2,,26,102.53,8,4,4,15.90009975,16.35160065,16.50919914,13.86789989,14.94859982,14.46370029,14.75160027,14.15569973
+,1.012987856,3.207899809,O08553;Q62188,O08553,Dihydropyrimidinase-related protein 2,Dpysl2,,24,62.277,8,4,4,16.00259972,15.11299992,16.11579895,22.0883007,15.06919956,13.80000019,13.82460022,13.79430008
+,3.449635339,1.306499481,O08573,O08573,Galectin-9,Lgals9,,5,40.035,8,4,4,17.56259918,17.75169945,17.93260002,17.22139931,16.5007,16.45009995,16.09740067,16.19409943
,2.117833429,0.761950016,O08582,O08582,GTP-binding protein 1,Gtpbp1,,14,72.3,8,4,4,18.80430031,18.64970016,18.60280037,18.19409943,17.68359947,17.80220032,17.52330017,18.19400024
,1.357919417,0.5706253052,O08583,O08583,THO complex subunit 4,Alyref,,8,26.94,8,4,4,22.62280083,22.66880035,22.89660072,21.87829971,22.00580025,21.91410065,22.0114994,21.8526001
,1.240178867,1.125774622,O08586,O08586,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",Pten,,6,47.152,6,2,4,16.89719963,17.56579971,NaN,NaN,16.44799995,15.88210011,15.51189995,16.58090019
,0.7201283957,0.310549736,O08663,O08663,Methionine aminopeptidase 2,Metap2,,14,52.921,8,4,4,17.58659935,17.34210014,17.52729988,16.87199974,17.05540085,17.1923008,16.63139915,17.20669937
,0,NaN,O08710,O08710,Thyroglobulin,Tg,,2,304.47,3,0,3,NaN,NaN,NaN,NaN,12.71240044,13.8434,NaN,11.16709995
