Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Valid values,Valid values 60 min,Valid values unstim,60 min stim FG159 neu,60 min stim FG160 neu,60 min stim FG161 neu,60 min stim FG162 neu,unstim FG10 neu,unstim FG11 neu,unstim FG12 neu,unstim FG9 neu
+,4.580482385,-2.590775251,A2AI08,A2AI08,Taperin,Tprn,,20,8,4,4,15.74559975,16.66429901,15.89700031,16.44389915,18.78820038,18.85619926,18.85470009,18.6147995
+,2.754750607,-1.86014986,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,,25,8,4,4,13.99289989,14.16289997,14.17329979,14.6576004,15.54189968,15.67739964,16.92939949,16.27860069
,0.141797518,-0.2501173019,A2AJ88,A2AJ88,Patatin-like phospholipase domain-containing protein 7,Pnpla7,,4,6,4,2,10.30920029,10.31801033,9.089900017,11.15009975,10.71080017,NaN,NaN,10.22303963
+,2.423049748,-1.597075224,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,,16,8,4,4,15.62230015,16.88170052,15.69980049,16.63080025,17.59000015,17.56500053,18.12700081,17.9409008
,1.514017587,0.9864001274,A2AKG8,A2AKG8,Focadhesin,Focad,,20,8,4,4,15.65939999,17.24530029,16.26429939,16.63800049,15.42389965,15.58520031,15.17259979,15.6796999
+,2.164556935,-1.52305007,A2AKX3,A2AKX3,Probable helicase senataxin,Setx,,17,8,4,4,13.64570045,12.64019966,12.75349998,11.98379993,14.18130016,13.90299988,14.36369991,14.66740036
+,2.380566214,-2.871352673,A2AL36,A2AL36,Centriolin,Cntrl,,9,8,4,4,10.5454998,9.887579918,11.9538002,9.203809738,12.64649963,13.7883997,13.0720005,13.56920052
,0.006313417337,0.01133354505,A2ALW5,A2ALW5,DnaJ homolog subfamily C member 25,Dnajc25,,3,7,4,3,14.34590054,14.12650013,13.89900017,15.73140049,13.86740017,NaN,14.40170002,15.27400017
,0.04164002465,-0.04579973221,A2AN08,A2AN08,E3 ubiquitin-protein ligase UBR4,Ubr4,,23,8,4,4,12.47290039,12.96170044,13.61680031,12.93580055,13.4375,13.01360035,13.51809978,12.20120049
,0.8942737794,-0.5370745659,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,,29,8,4,4,16.62610054,17.70000076,16.70669937,17.47579956,17.4477005,17.77569962,17.42899895,18.00449944
,0.4590271073,0.3979249001,A2AQ19,A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,,5,8,4,4,14.13749981,14.56449986,14.25419998,14.96959972,15.02229977,13.38500023,14.0546999,13.87209988
,0.2392629712,-0.2781994343,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,,8,8,4,4,15.79090023,16.84420013,15.26290035,16.99069977,15.91319942,16.88599968,16.78299904,16.41930008
,0.5794516445,-0.7708575726,A2ASS6,A2ASS6,Titin,Ttn,,14,8,4,4,10.2013998,11.27740002,8.82859993,10.06099033,11.62779999,9.840519905,11.04310036,10.94040012
,1.992184235,-0.9551749229,A2AT37,A2AT37,,Upf2,,38,8,4,4,16.44149971,16.94510078,16.70619965,17.61879921,17.93709946,17.71710014,17.90040016,17.97769928
+,1.364570177,-1.749100049,A2AWL7,A2AWL7,MAX gene-associated protein,Mga,,3,5,2,3,7.604720116,8.240300179,NaN,NaN,NaN,9.859240532,8.981510162,10.1740799
+,4.186912625,-3.181799889,A2BE28,A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,,23,8,4,4,14.00880051,13.45359993,13.98600006,14.18029976,16.4564991,16.81450081,17.7446003,17.34029961
,0.3507389404,0.9808797836,A2BH40,A2BH40,AT-rich interactive domain-containing protein 1A,Arid1a,,4,8,4,4,8.00481987,12.0010004,13.11849976,11.86590004,10.79660034,9.984820366,11.14319992,9.142080307
+,4.042642,-1.869450092,A2RSY6,A2RSY6,TRMT1-like protein,Trmt1l,,23,8,4,4,16.59079933,16.31150055,16.93599892,16.75359917,18.81220055,18.09219933,18.5366993,18.62859917
+,1.239336644,-1.961852789,A3KFM7,A3KFM7,Chromodomain-helicase-DNA-binding protein 6,Chd6,,14,8,4,4,7.83068943,11.17860031,9.798500061,11.13290024,12.00740051,11.12040043,12.23820019,12.42210007
+,1.821661877,-2.531683207,A6H619,A6H619,PHD and RING finger domain-containing protein 1,Phrf1,,8,7,3,4,12.22440052,12.21150017,NaN,14.64890003,15.35179996,15.29020023,15.76959991,15.82820034
+,3.709494799,-3.958614826,A6H8H2,A6H8H2,DENN domain-containing protein 4C,Dennd4c,,4,8,4,4,9.499199867,10.10976982,11.56550026,10.0484705,14.2567997,13.9282999,13.99989986,14.87240028
+,2.73261975,-2.639175177,A6PWY4,A6PWY4,WD repeat-containing protein 76,Wdr76,,8,8,4,4,12.96790028,14.01130009,13.26599979,14.73009968,15.78900051,15.93420029,16.99489975,16.81389999
,0.593857558,0.6544246674,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,,26,8,4,4,16.63019943,18.3132,16.56399918,18.30019951,17.18950081,16.41580009,16.88559914,16.6989994
+,6.331464123,-2.415674686,B1AY10,B1AY10,Transcriptional repressor NF-X1,Nfx1,,31,8,4,4,14.47169971,14.65630054,14.49020004,14.78240013,16.99799919,16.8288002,17.03619957,17.20030022
+,1.070947905,1.587329626,B1AY13,B1AY13,Ubiquitin carboxyl-terminal hydrolase 24,Usp24,,6,6,4,2,9.999000549,12.09010029,11.53380013,11.6317997,NaN,NaN,9.494410515,9.958280563
,1.556363465,-0.9487996101,B1AZI6,B1AZI6,THO complex subunit 2,Thoc2,,32,8,4,4,15.26799965,16.45479965,16.35379982,16.64450073,16.99510002,16.93449974,17.42059898,17.16609955
+,0.9084208649,-2.035508553,B2RQC2,B2RQC2,Ubiquitin carboxyl-terminal hydrolase 42,Usp42,,8,7,4,3,9.87460041,13.9133997,10.10210037,11.48079967,13.53950024,13.36980057,13.22539997,NaN
,1.104004193,0.7387242317,B2RQC6;Q8C196,B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,,78,8,4,4,19.26689911,20.21559906,20.49469948,20.59639931,19.36639977,19.5352993,19.76930046,18.9477005
+,4.133351721,-1.361499786,B2RR83,B2RR83,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,,52,8,4,4,17.42000008,17.5637989,17.81060028,17.9727993,19.01499939,18.92869949,19.25379944,19.01569939
+,2.320883385,-2.334470272,B2RRD7,B2RRD7,,Brpf1,,6,6,2,4,8.476860046,9.34980011,NaN,NaN,11.50730038,10.75500011,11.66950035,11.05940056
+,3.825800143,-2.324774265,B2RRE7,B2RRE7,OTU domain-containing protein 4,Otud4,,33,8,4,4,16.65200043,17.09320068,16.36240005,16.46339989,19.2458992,18.30599976,19.2071991,19.11100006
,0.5926498353,1.26134491,B2RWS6;P45481,B2RWS6;P45481,Histone acetyltransferase p300;CREB-binding protein,Ep300;Crebbp,,4,4,2,2,NaN,NaN,8.579600334,9.970230103,7.618430138,8.40871048,NaN,NaN
,0.4883451222,1.142564774,B2RX14,B2RX14,Terminal uridylyltransferase 4,Zcchc11,,16,8,4,4,13.49230003,14.23810005,13.49069977,14.1633997,14.48649979,13.37419987,9.676640511,13.27690029
+,5.034124487,2.783250093,B2RXR6,B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,,15,8,4,4,15.59280014,15.62400055,15.14529991,15.91709995,12.95320034,13.03419971,12.49800014,12.66079998
,0.3232859993,-0.2462501526,B2RY56,B2RY56,RNA-binding protein 25,Rbm25,,19,8,4,4,17.04899979,18.04059982,17.01650047,18.08239937,17.84070015,17.43109894,18.02470016,17.87700081
,0.7209415717,0.7080252171,B7ZNG0,B7ZNG0,Kinesin-like protein KIF7,Kif7,,3,8,4,4,10.28380013,12.37030029,12.01160049,11.03629971,10.49989986,10.80029964,10.82359982,10.74610043
,0.1424716014,0.2014997005,B7ZNG4,B7ZNG4,Tastin,Troap,,8,8,4,4,14.65499973,15.95079994,14.22980022,15.3597002,13.78170013,15.03470039,14.99820042,15.57470036
,0,NaN,B8ZXI1,B8ZXI1,Queuine tRNA-ribosyltransferase subunit QTRTD1,Qtrtd1,,2,4,4,0,11.50329971,12.55379963,11.95510006,12.42570019,NaN,NaN,NaN,NaN
+,2.996838618,2.525124788,B9EJ86;Q9ER64,B9EJ86,Oxysterol-binding protein,Osbpl8,,24,8,4,4,17.72909927,18.83589935,17.81800079,18.71050072,15.11410046,15.68910027,15.59300041,16.59679985
+,2.514981499,-1.856775284,C0HKD9;C0HKD8,C0HKD9;C0HKD8,,,,6,8,4,4,14.92889977,16.12389946,14.52079964,15.69050026,17.48729897,16.8178997,17.1298008,17.25620079
+,1.055506081,-1.805716435,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q8R1M2,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q8R1M2,Histone H2A type 1-H;Histone H2A type 1-F;Histone H2A type 3;Histone H2A.J,Hist1h2ah;Hist1h2af;Hist3h2a;H2afj,,8,7,4,3,10.87129974,12.33930016,11.03219986,13.2286005,NaN,12.47599983,14.67739964,13.86730003
,0,NaN,CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229,CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229,,,+,6,4,4,0,13.20619965,14.23859978,13.82629967,13.86369991,NaN,NaN,NaN,NaN
,0.04411033225,0.1575667063,CON__ENSEMBL:ENSBTAP00000031360,CON__ENSEMBL:ENSBTAP00000031360,,,+,2,6,3,3,10.31120014,NaN,11.79780006,13.99960041,12.84920025,NaN,10.8362999,11.95040035
,0,NaN,CON__P00735;P19221,CON__P00735,,,+,3,4,4,0,12.75040054,13.81990051,15.33979988,13.71609974,NaN,NaN,NaN,NaN
,0,4.295324802,CON__P00761,CON__P00761,,,+,5,5,4,1,19.20999908,20.70120049,18.57379913,19.73270035,NaN,NaN,NaN,15.25909996
+,3.088995339,1.92419982,CON__P01966,CON__P01966,,,+,4,8,4,4,17.06879997,17.34070015,16.74209976,17.45540047,14.93970013,15.35640049,14.69760036,15.91650009
,0.5258210664,-0.8951997757,CON__P02533;CON__Q61782,CON__P02533,,,+,49,8,4,4,18.06130028,20.26709938,18.08659935,20.12280083,20.79249954,18.75729942,20.81710052,19.75169945
,0.492909456,-1.294024944,CON__P02538;CON__H-INV:HIT000016045;CON__REFSEQ:XP_932229,CON__P02538,,,+,64,8,4,4,14.8494997,17.00909996,12.69630051,15.9545002,17.02359962,14.20090008,16.78490067,17.67609978
,0,0.2760252953,CON__P02662,CON__P02662,,,+,4,5,4,1,13.36439991,16.33690071,15.42170048,16.51749992,NaN,NaN,15.13409996,NaN
,0.07960488354,0.380625248,CON__P02768-1,CON__P02768-1,,,+,37,8,4,4,15.38819981,17.25029945,15.72959995,17.3166008,15.42759991,12.8427,20.66079903,15.23110008
,0.140173706,0.1283245087,CON__P02769,CON__P02769,,,+,48,8,4,4,19.75799942,19.20429993,19.5977993,20.05739975,19.56900024,18.67320061,19.86800003,19.99399948
,0.5180438486,-0.6605744362,CON__P04259,CON__P04259,,,+,65,8,4,4,21.76740074,22.5673008,21.44820023,23.47270012,23.29590034,21.8708992,23.52549934,23.20560074
,0.7790099534,-0.9018497467,CON__P04264,CON__P04264,,,+,68,8,4,4,23.83919907,25.71840096,24.43770027,25.71590042,25.92840004,24.92519951,26.46809959,25.99690056
,0,6.297175407,CON__P06868,CON__P06868,,,+,15,5,4,1,17.44309998,18.36689949,17.89550018,18.63960075,NaN,NaN,NaN,11.78909969
+,2.166888961,-4.902450085,CON__P08727,CON__P08727,,,+,16,4,2,2,11.41880035,11.96259975,NaN,NaN,NaN,NaN,16.89550018,16.29080009
+,1.346728361,-1.896125317,CON__P08779,CON__P08779,,,+,51,8,4,4,20.11269951,22.49869919,19.89789963,22.16589928,23.61829948,22.19400024,23.50699997,22.94039917
,0,NaN,CON__P12035,CON__P12035,,,+,23,4,0,4,NaN,NaN,NaN,NaN,13.45059967,11.31330013,13.18430042,17.47060013
+,1.430468871,2.572924376,CON__P12763,CON__P12763,,,+,7,6,4,2,16.19319916,17.79500008,15.39939976,16.11389923,13.22599983,14.37890053,NaN,NaN
,0.6166831284,-0.681075573,CON__P13645;CON__Q2M2I5;CON__P05784;P05784;A1L317,CON__P13645,,,+,46,8,4,4,23.76650047,25.18919945,23.57640076,25.01569939,25.39290047,24.15130043,25.14220047,25.58570099
+,2.134517754,-4.519874334,CON__P13646-1,CON__P13646-1,,,+,23,8,4,4,13.51300049,14.64220047,12.96660042,14.02999973,17.51619911,15.62619972,20.30699921,19.78190041
,1.089849887,-1.362400055,CON__P13647,CON__P13647,,,+,60,8,4,4,18.79019928,20.77750015,19.08600044,20.83670044,21.57819939,20.19029999,21.80120087,21.37030029
,0.4992848892,0.7555007935,CON__P15636,CON__P15636,,,+,15,8,4,4,25.03429985,26.26670074,24.03190041,26.88190079,24.28229904,24.62109947,24.72719955,25.56220055
,0,-4.166174173,CON__P19013,CON__P19013,,,+,27,5,1,4,13.03900051,NaN,NaN,NaN,16.62039948,12.41820049,20.6317997,19.15029907
,0.7588280298,1.636072159,CON__P20930,CON__P20930,,,+,23,5,3,2,7.487650871,NaN,7.202809334,8.60117054,5.134959221,7.120650291,NaN,NaN
,0.7173387497,-0.9324755669,CON__P35527,CON__P35527,,,+,46,8,4,4,23.19239998,25.39839935,23.56749916,24.56069946,25.44459915,24.28310013,26.03930092,24.68190002
,0.6444935363,-0.6137499809,CON__P35908;Q6IFZ9,CON__P35908,,,+,58,8,4,4,21.81749916,23.32279968,22.18989944,23.34609985,23.72019958,22.65609932,23.21929932,23.53569984
,0,2.804564953,CON__P41361,CON__P41361,,,+,3,5,4,1,12.25430012,13.18900013,12.91300011,12.48760033,NaN,9.906410217,NaN,NaN
,0.09453540968,-0.2209335168,CON__P48668,CON__P48668,,,+,64,7,3,4,15.76410007,18.20800018,NaN,17.15049934,17.86249924,15.74289989,17.57850075,17.86330032
+,0.9104147465,-2.42372481,CON__Q01546,CON__Q01546,,,+,17,7,4,3,9.427200317,11.78380013,11.3234005,12.60309982,13.85099983,11.49440002,NaN,15.77890015
,0.03388343413,-0.08952522278,CON__Q04695;CON__Q8N1A0;Q8CCX5,CON__Q04695,,,+,48,8,4,4,15.07839966,18.3246994,14.7677002,16.39459991,17.23239899,15.66170025,16.60560036,15.42380047
+,1.741875396,1.453525066,CON__Q1RMK2,CON__Q1RMK2,,,+,10,8,4,4,17.37750053,19.35470009,18.38929939,18.39800072,17.19739914,17.28170013,16.39800072,16.82830048
+,3.0025799,1.561525345,CON__Q28107,CON__Q28107,,,+,24,8,4,4,15.65060043,16.85070038,16.33160019,16.53960037,14.74300003,14.94869995,14.65190029,14.78279972
,0,6.072050571,CON__Q2KJF1,CON__Q2KJF1,,,+,12,5,4,1,18.70610046,18.34300041,19.20619965,17.98410034,NaN,NaN,NaN,12.48779964
+,2.087163973,1.645824909,CON__Q2UVX4,CON__Q2UVX4,,,+,10,8,4,4,12.35830021,13.36699963,13.10210037,12.95530033,10.74550056,11.37899971,12.30780029,10.76710033
+,3.119598406,2.00039959,CON__Q3SX09,CON__Q3SX09,,,+,4,8,4,4,16.38310051,17.38279915,16.70789909,16.20339966,14.34319973,15.01319981,14.35640049,14.96280003
+,4.237553893,3.620950222,CON__Q3SX14,CON__Q3SX14,,,+,25,8,4,4,19.29190063,20.52479935,20.11420059,20.45400047,16.5760994,16.49209976,15.87030029,16.96260071
+,3.586143822,1.898875713,CON__Q3ZBS7;P29788,CON__Q3ZBS7,,,+,8,8,4,4,18.18709946,19.2968998,18.61980057,18.85210037,16.64249992,16.94459915,16.74359894,17.02969933
,0.6007038578,0.6025750637,CON__Q5D862;Q2VIS4,CON__Q5D862,,,+,24,8,4,4,14.14540005,15.7972002,14.48910046,15.48799992,14.8032999,13.6072998,14.55920029,14.53960037
+,1.120753522,-1.429549932,CON__Q6IME9;Q6IME9;CON__Q14CN4-1,CON__Q6IME9;Q6IME9;CON__Q14CN4-1,"Keratin, type II cytoskeletal 72",Krt72,+,9,8,4,4,15.83339977,18.14159966,16.2954998,17.87520027,18.80039978,17.45759964,18.97290039,18.63299942
,1.375647295,-1.22694993,CON__Q6KB66-1;CON__Q0VBK2;Q0VBK2,CON__Q6KB66-1,,,+,25,8,4,4,14.12370014,14.02110004,12.95650005,14.91709995,15.46070004,14.46720028,15.52099991,15.47729969
+,1.671459759,-1.583751202,CON__Q8N1N4-2;CON__Q7RTT2,CON__Q8N1N4-2;CON__Q7RTT2,,,+,28,8,4,4,16.27249908,17.49379921,16.46559906,17.89909935,18.82670021,17.65500069,19.12010002,18.86420059
,0.9293942506,-1.501275301,CON__Q7Z794,CON__Q7Z794,,,+,30,8,4,4,13.73029995,16.38890076,16.05430031,17.04599953,17.19070053,16.25930023,18.08740044,17.68720055
,0.5279824692,-0.6302499771,CON__Q86YZ3,CON__Q86YZ3,,,+,50,8,4,4,15.2446003,16.12059975,15.35680008,16.80310059,17.14089966,15.81920052,17.3118,15.77420044
,0.07956455088,-0.3547747135,CON__Q9C075;CON__Q99PS0;Q99PS0,CON__Q9C075,,,+,15,6,4,2,9.850500107,14.54899979,12.18580055,13.38020039,NaN,12.10369968,13.58860016,NaN
+,4.840176236,-6.156480074,CON__Q9TRI1,CON__Q9TRI1,,,+,2,6,2,4,7.944410324,NaN,7.917579651,NaN,14.16899967,13.65019989,14.10130024,14.42940044
,0.9952354415,0.7898507118,CON__Q9U6Y5,CON__Q9U6Y5,,,+,8,8,4,4,22.46479988,23.78160095,22.82130051,24.06979942,22.34009933,22.48830032,22.24939919,22.90029907
,0,NaN,CON__Streptavidin,CON__Streptavidin,,,+,1,4,4,0,16.59549904,19.06130028,16.37439919,17.39760017,NaN,NaN,NaN,NaN
+,2.594327091,-2.037874937,D3YXK1,D3YXK1,Atherin,Samd1,,4,8,4,4,11.46070004,12.92539978,11.45580006,12.72500038,14.49139977,14.05790043,14.13249969,14.03660011
,1.4020123,-0.7711753845,D3YXK2,D3YXK2,Scaffold attachment factor B1,Safb,,16,8,4,4,15.32550049,15.95230007,15.81029987,16.48729897,16.38730049,16.48649979,17.15920067,16.62709999
,0,3.247999668,D3Z6Q9,D3Z6Q9,Bridging integrator 2,Bin2,,5,5,4,1,14.49769974,14.89900017,15.3234005,14.57349968,NaN,NaN,11.57540035,NaN
+,3.856295264,4.632624626,D3Z750,D3Z750,Maestro heat-like repeat-containing protein family member 2A,Mroh2a,,3,8,4,4,17.04789925,18.14389992,17.86779976,15.79769993,12.38930035,12.38910007,12.63619995,12.91219997
,2.16951082,-0.9255750179,E2JF22,E2JF22,Piezo-type mechanosensitive ion channel component 1,Piezo1,,2,8,4,4,10.4861002,10.83440018,11.24199963,10.49370003,11.65499973,11.63549995,12.07800007,11.39000034
+,2.28975433,1.348924637,E9PVA8,E9PVA8,,Gcn1l1,,38,8,4,4,14.71759987,14.84389973,15.01280022,14.21679974,14.10700035,13.11950016,13.26500034,12.90390015
+,4.427782523,-2.070325375,E9PVX6,E9PVX6,,Mki67,,76,8,4,4,15.62460041,16.21839905,15.55650043,16.08939934,17.99370003,17.71549988,18.17810059,17.88290024
,0,NaN,E9PYK3,E9PYK3,,Parp4,,3,4,4,0,9.151599884,9.520680428,9.584899902,8.70788002,NaN,NaN,NaN,NaN
+,2.616796855,-1.582024574,E9PZJ8,E9PZJ8,Activating signal cointegrator 1 complex subunit 3,Ascc3,,58,8,4,4,15.23390007,14.70969963,15.72290039,16.02770042,16.91790009,16.80360031,16.92269897,17.37809944
,0.004637898788,0.02696196238,E9PZM4,E9PZM4,Chromodomain-helicase-DNA-binding protein 2,Chd2,,12,7,4,3,7.387299538,13.86670017,12.65350056,13.22819996,NaN,12.12199974,13.17409992,9.974789619
+,4.558225318,-6.141974449,E9Q286,E9Q286,Little elongation complex subunit 1,Ice1,,7,6,2,4,6.906100273,NaN,7.584900856,NaN,13.37510014,13.24380016,13.7585001,13.17249966
+,2.587965412,1.199721495,E9Q394,E9Q394,,Akap13,,4,7,4,3,9.407400131,10.11456966,10.09539986,9.617770195,8.707650185,8.486209869,NaN,8.633330345
+,3.006402888,1.538450241,E9Q3L2,E9Q3L2,,Pi4ka,,31,8,4,4,14.62800026,15.52050018,15.33820057,15.55870056,13.93939972,13.44960022,13.51720047,13.9854002
+,2.858340187,-6.532966614,E9Q401,E9Q401,Ryanodine receptor 2,Ryr2,,2,6,3,3,9.419199944,10.92910004,9.543600082,NaN,17.05069923,15.16330051,17.27680016,NaN
,0.1355219481,-0.2072901726,E9Q4F7,E9Q4F7,,Ankrd11,,4,6,2,4,NaN,NaN,9.377099991,9.96848011,9.515910149,9.533450127,9.52216053,10.94880009
,2.659577123,0.8083000183,E9Q555,E9Q555,E3 ubiquitin-protein ligase RNF213,Rnf213,,62,8,4,4,14.61530018,14.95800018,14.78509998,15.1164999,13.98600006,13.80879974,14.3597002,14.08720016
+,3.103484541,-2.727599621,E9Q557,E9Q557,Desmoplakin,Dsp,,98,8,4,4,13.85010052,14.97580051,12.9236002,14.00969982,16.40710068,16.51609993,16.90909958,16.83729935
+,1.35728257,-1.311858177,E9Q5C9,E9Q5C9,,Nolc1,,6,7,3,4,NaN,14.69340038,12.8842001,14.51109982,15.55739975,15.34630013,15.25749969,15.2045002
,0.4668857561,-1.074647665,E9Q5F9,E9Q5F9,Histone-lysine N-methyltransferase SETD2,Setd2,,10,8,4,4,9.094099998,10.3059597,7.531920433,10.89019966,11.30389977,11.59840012,8.398870468,10.81960011
,1.787605962,-0.8265743256,E9Q5G3,E9Q5G3,Kinesin-like protein KIF23,Kif23,,35,8,4,4,18.17210007,19.08139992,18.12450027,18.55599976,19.09619904,19.13529968,19.57589912,19.43289948
+,4.323618864,-2.158050537,E9Q5K9,E9Q5K9,YTH domain-containing protein 1,Ythdc1,,4,8,4,4,15.7677002,16.34980011,16.40119934,16.28999901,18.5007,17.91629982,18.5279007,18.49600029
,0.9237539796,0.821653684,E9Q612,E9Q612,Receptor-type tyrosine-protein phosphatase O,Ptpro,,1,6,3,3,10.57499981,NaN,10.60280037,9.479280472,9.768799782,9.275179863,NaN,9.148139954
+,4.550541615,2.337200165,E9Q634;P70248,E9Q634,Unconventional myosin-Ie,Myo1e,,49,8,4,4,22.35300064,23.17919922,22.80739975,23.06970024,20.44820023,20.30459976,20.5618,20.7458992
,0.7526897004,-0.4423053265,E9Q6E9,E9Q6E9,,Simc1,,2,8,4,4,8.851099968,9.833960533,9.996299744,9.2750597,10.03585052,9.686110497,9.787409782,10.21627045
+,2.632813438,-1.385024786,E9Q784,E9Q784,,Zc3h13,,21,8,4,4,15.04040051,15.40280056,15.05109978,15.77369976,16.94949913,16.07390022,16.96500015,16.81970024
+,2.398238495,-3.97887977,E9Q7E2,E9Q7E2,,Arid2,,6,7,3,4,8.672599792,11.20170021,8.512660027,NaN,13.31579971,12.83419991,13.52649975,14.08829975
,0.3808306917,-0.8353082339,E9Q7F2,E9Q7F2,E3 ubiquitin-protein ligase RNF169,Rnf169,,6,7,4,3,11.52939987,12.71310043,12.59529972,13.70950031,NaN,12.26099968,15.30850029,12.84689999
+,2.114329058,-1.599974394,E9Q7G0,E9Q7G0,,Numa1,,69,8,4,4,14.22410011,15.87510014,14.81910038,15.84200001,16.79249954,16.67160034,16.853899,16.84219933
+,5.873212593,-2.72992444,E9Q8D0,E9Q8D0,,Dnajc21,,8,8,4,4,14.36340046,14.82359982,14.85000038,14.40210056,17.30900002,17.43449974,17.42239952,17.1928997
,0,NaN,E9Q8T2,E9Q8T2,,Prdm15,,4,4,0,4,NaN,NaN,NaN,NaN,10.42749977,9.866709709,10.31486988,10.07417011
,2.098290463,-0.7391004562,E9QAM5,E9QAM5,Helicase with zinc finger domain 2,Helz2,,75,8,4,4,16.61380005,17.41539955,17.05800056,17.38909912,17.94619942,17.84250069,17.80800056,17.83600044
+,5.335032688,4.42972517,E9QAT4,E9QAT4,,Sec16a,,62,8,4,4,18.95210075,19.7010994,19.57900047,20.06080055,14.65950012,15.32260036,15.16989994,15.42210007
,0.5707569779,1.054580212,F6ZDS4,F6ZDS4,Nucleoprotein TPR,Tpr,,15,8,4,4,12.39379978,13.18860054,11.58320045,12.53050041,12.85480022,11.61019993,11.90770054,9.105079651
,0.1939578544,-0.3472251892,G3X9C2,G3X9C2,F-box only protein 50,Nccrp1,,4,8,4,4,11.57719994,14.00710011,12.7105999,13.94649982,14.01379967,12.59850025,14.18570042,12.83230019
+,4.540397786,-2.185425282,G3X9J0,G3X9J0,,Sipa1l3,,38,8,4,4,15.44509983,16.23150063,15.74709988,16.09180069,17.89310074,17.96870041,18.19560051,18.19980049
