Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,T:.Protein.names,Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],Valid.values,N:.Valid.values.unstim,N:.Valid.values.15.min.stim,N:.Valid.values.30.min.stim,N:.Valid.values.WT.control,FG26..unstim,FG27..unstim,FG29..unstim,FG30..15.min.stim,FG32..15.min.stim,FG33..15.min.stim,FG34..30..min.stim,FG35..30.min.stim,FG36..30.min.stim,FG50.WT.control,FG51.WT.control,FG52.WT.control,FG53.WT.control,ORIGIN,PULLED_PROTEIN,KO
FALSE,0.442142385055668,1.22475020090739,A2A8U2,A2A8U2,Transmembrane protein 201,Tmem201,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,72.499,14,4,3,3,4,13.1239995956421,15.2931003570557,12.602499961853,16.2931003570557,15.5373001098633,16.4381008148193,NA,14.3482999801636,15.4476003646851,18.6713008880615,19.6692008972168,19.1382999420166,19.645299911499,30,IRAK1,NONE
FALSE,0,-0.441099802652994,A2A9T0,A2A9T0,TANK-binding kinase 1-binding protein 1,Tbkbp1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,67.001,10,4,3,1,2,15.7832002639771,16.2049999237061,13.2341003417969,15.2244005203247,15.806300163269,13.7130994796753,14.6330003738403,NA,NA,18.0568008422852,NA,NA,18.6028995513916,30,IRAK1,NONE
FALSE,0,-8.66572062175663e-4,A2AA28,A2AA28,Methyltransferase-like protein 23,Mettl23,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,28.288,8,4,3,1,0,15.8894004821777,16.0097007751465,16.2655010223389,15.9653005599976,16.0538005828857,17.0510997772217,NA,16.0540008544922,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0,0.349067370096842,A2AAE1,A2AAE1,Uncharacterized protein KIAA1109,Kiaa1109,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,4,555.36,10,4,3,1,2,12.5993995666504,11.8753995895386,11.7406997680664,9.14797973632813,11.9614000320435,11.7980003356934,NA,NA,12.4209003448486,13.8833103179932,15.403510093689,NA,NA,30,IRAK1,NONE
FALSE,0,-2.50023333231608,A2AAX3,A2AAX3,NA,Klhl15,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,69.744,10,4,3,1,2,14.4035997390747,14.6326999664307,13.9687995910645,13.832200050354,14.1617002487183,14.1781997680664,11.8347997665405,NA,NA,NA,19.2280006408691,NA,16.8000392913818,30,IRAK1,NONE
FALSE,0,NA,A2AB59,A2AB59,Rho GTPase-activating protein 27,Arhgap27,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,97.047,2,2,0,0,0,NA,14.489800453186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0,NA,A2ABV5,A2ABV5,Mediator of RNA polymerase II transcription subunit 14,Med14,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,160.96,3,3,0,0,0,NA,12.4228000640869,12.4567995071411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,2.43026324404426,1.49056688944498,A2ACJ2,A2ACJ2,Fanconi anemia-associated protein of 100 kDa,Faap100,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,13,94.28,16,4,4,4,4,19.0832996368408,19.017599105835,18.6846008300781,19.8983001708984,20.1506996154785,20.0711994171143,20.0069999694824,20.5375995635986,20.7126007080078,24.172700881958,25.2833003997803,24.7716007232666,24.9951000213623,30,IRAK1,NONE
FALSE,0.108183778183365,0.217399279276531,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,31.992,14,4,3,3,4,16.6452007293701,18.107400894165,15.6262998580933,16.5928001403809,16.1562004089355,16.7803001403809,16.8269996643066,17.0802001953125,17.1238994598389,21.9536991119385,21.9717998504639,21.7108993530273,21.9584007263184,30,IRAK1,NONE
TRUE,2.33633858005123,-2.86570008595785,A2ADY9,A2ADY9,Protein DDI1 homolog 2,Ddi2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,44.59,10,3,3,3,1,NA,18.558500289917,17.5655002593994,15.6943998336792,16.2198009490967,16.448600769043,15.2726001739502,15.1828002929688,15.1335000991821,17.818000793457,NA,NA,NA,30,IRAK1,NONE
FALSE,1.0131070181399,-1.45556672414144,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,4,90.11,12,4,3,4,1,15.5292997360229,15.1388998031616,13.4425001144409,13.2186002731323,12.9426002502441,13.2074003219604,13.3112001419067,13.5770998001099,12.8556995391846,NA,NA,16.0759906768799,NA,30,IRAK1,NONE
FALSE,0,NA,A2AGH6,A2AGH6,Mediator of RNA polymerase II transcription subunit 12,Med12,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,244.56,7,4,3,0,0,12.4581003189087,11.878999710083,11.9674997329712,11.4882001876831,11.6687002182007,13.2912998199463,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0.59713236086278,-0.336034138997398,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,47,225.63,16,4,4,4,4,19.8752002716064,19.6809005737305,19.0615005493164,19.5216999053955,19.2327995300293,20.1580009460449,19.2672996520996,19.0907001495361,19.2514991760254,24.0762996673584,24.3320999145508,24.0785007476807,24.3062992095947,30,IRAK1,NONE
FALSE,0,-1.54040018717448,A2AH22,A2AH22,Activating molecule in BECN1-regulated autophagy protein 1,Ambra1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,142.88,6,4,1,1,0,14.1724996566772,13.3642997741699,13.3612995147705,NA,NA,12.7630996704102,12.0922994613647,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,2.15648330995418,-2.1263697942098,A2AHC3,A2AHC3,Calmodulin-regulated spectrin-associated protein 1,Camsap1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,4,175.89,12,4,3,3,2,13.4865999221802,12.34850025177,12.4112997055054,12.0543994903564,10.5432300567627,11.4777994155884,11.0086002349854,10.4207601547241,10.4379301071167,NA,15.4016399383545,NA,15.5635805130005,30,IRAK1,NONE
FALSE,2.00603901599581,-1.02836608886719,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,20,74.985,16,4,4,4,4,21.1753997802734,20.6569995880127,20.7654991149902,20.6326007843018,19.8976993560791,20.8134002685547,19.765100479126,19.6096992492676,20.1380004882813,23.6121006011963,23.940299987793,23.600700378418,23.9109992980957,30,IRAK1,NONE
FALSE,0.0766850647256414,0.0735658009846993,A2AI08,A2AI08,Taperin,Tprn,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,20,80.088,16,4,4,4,4,21.0235996246338,21.558500289917,20.4654006958008,21.3528003692627,20.9451007843018,21.4498996734619,20.8498992919922,21.2129993438721,21.2052993774414,23.942699432373,24.2556991577148,23.6340007781982,24.0326995849609,30,IRAK1,NONE
FALSE,0,NA,A2AIL4,A2AIL4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",Ndufaf6,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,38.362,6,4,1,1,0,13.1026000976563,13.3914003372192,12.618200302124,13.230899810791,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,1.94508444013602,-1.35590044657389,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,23,201.44,16,4,4,4,4,18.5072002410889,18.5153007507324,17.779899597168,18.1061992645264,17.3857002258301,16.9586009979248,16.8668994903564,17.2504005432129,16.6173992156982,20.7024002075195,20.4358997344971,20.1201000213623,20.2506008148193,30,IRAK1,NONE
FALSE,1.67356367338049,-1.39009014765421,A2AJ88,A2AJ88,Patatin-like phospholipase domain-containing protein 7,Pnpla7,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,150.49,10,4,3,2,1,12.6756000518799,13.2144002914429,13.0160999298096,12.9644002914429,11.4006996154785,12.8752002716064,NA,11.2593202590942,11.8978996276855,NA,NA,NA,16.1082000732422,30,IRAK1,NONE
FALSE,0.952139996661289,0.745533625284832,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,14,93.275,16,4,4,4,4,19.5513000488281,19.3111991882324,19.0100994110107,19.8883991241455,19.2276992797852,19.3083000183105,19.6968994140625,19.7133007049561,20.6989994049072,23.0086994171143,23.6805000305176,22.863899230957,23.0184993743896,30,IRAK1,NONE
FALSE,0.529533816655684,1.42690340677897,A2AJK6,A2AJK6,Chromodomain-helicase-DNA-binding protein 7,Chd7,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,12,334.06,13,4,3,4,2,12.03600025177,11.4558000564575,11.4609994888306,12.6146001815796,12.72350025177,11.3676195144653,13.9036998748779,10.7674102783203,14.5623998641968,NA,NA,18.7383995056152,18.2367992401123,30,IRAK1,NONE
FALSE,0,NA,A2AKB9,A2AKB9,DDB1- and CUL4-associated factor 10,Dcaf10,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,61.558,3,3,0,0,0,15.6642999649048,14.3950996398926,11.3246994018555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0.742466192627469,-0.918367067972817,A2AKG8,A2AKG8,Focadhesin,Focad,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,16,198.95,16,4,4,4,4,17.5,17.5025005340576,17.5249004364014,16.4780006408691,17.6676006317139,17.3722991943359,17.5914993286133,15.6267004013062,16.5541000366211,20.9241008758545,21.0018005371094,20.6315002441406,20.8563995361328,30,IRAK1,NONE
FALSE,0.68378238137872,-0.471266428629558,A2AKX3,A2AKX3,Probable helicase senataxin,Setx,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,36,297.59,15,4,3,4,4,18.8243007659912,18.7462997436523,17.9256992340088,18.534200668335,18.4018993377686,18.163200378418,17.7978992462158,18.2280006408691,18.0566005706787,20.2640991210938,20.2054996490479,20.2161998748779,20.6021003723145,30,IRAK1,NONE
FALSE,0.254179636109394,0.247533798217773,A2AL36,A2AL36,Centriolin,Cntrl,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,71,268.88,16,4,4,4,4,19.399299621582,19.2903003692627,19.1900997161865,19.4717998504639,19.639799118042,20.4986000061035,20.2954998016357,19.2660007476807,19.0608005523682,25.5592994689941,25.8756999969482,25.5093002319336,25.8302001953125,30,IRAK1,NONE
FALSE,0,0.456449508666992,A2ALW5,A2ALW5,DnaJ homolog subfamily C member 25,Dnajc25,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,41.937,10,3,3,1,3,NA,16.6573009490967,16.9825992584229,16.7003993988037,16.0977993011475,16.9092998504639,17.2763996124268,NA,NA,19.8484992980957,NA,19.5855007171631,19.9701995849609,30,IRAK1,NONE
FALSE,1.74364032301183,-1.31486638387044,A2AN08,A2AN08,E3 ubiquitin-protein ligase UBR4,Ubr4,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,42,572.28,15,4,3,4,4,17.4489994049072,17.3523006439209,16.8169002532959,16.3759002685547,16.4575004577637,16.092700958252,16.4453010559082,15.5874004364014,15.6408996582031,19.755199432373,18.7644996643066,17.9235000610352,18.1623992919922,30,IRAK1,NONE
FALSE,0.981587687856881,-0.456400553385418,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,27,85.893,16,4,4,4,4,20.8378009796143,20.6051006317139,20.1249008178711,20.738899230957,19.9675998687744,20.4454002380371,20.1828002929688,20.019100189209,19.9967002868652,24.6399002075195,25.1989002227783,24.737699508667,24.9699001312256,30,IRAK1,NONE
FALSE,1.47171999788263,-2.53569984436035,A2AQ19,A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,10,80.796,16,4,4,4,4,19.1366004943848,18.3342990875244,18.4964008331299,17.8255004882813,15.7736005783081,16.4440002441406,14.9106998443604,17.5239009857178,15.9256000518799,19.6455001831055,19.903299331665,19.3535995483398,19.9423007965088,30,IRAK1,NONE
FALSE,0.183260877102482,-0.376466751098633,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,7,88.324,15,4,3,4,4,19.1884002685547,17.2023010253906,17.265100479126,18.4517993927002,17.3645992279053,18.9297008514404,18.1779003143311,17.652400970459,16.6961002349854,22.2796001434326,23.0146007537842,22.4974002838135,22.516300201416,30,IRAK1,NONE
FALSE,0.321862145774251,0.746183077494303,A2ASQ1,A2ASQ1,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,Agrn,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,207.54,10,4,3,3,0,11.2807998657227,12.7734994888306,12.8189001083374,14.3155002593994,14.2987003326416,11.7793998718262,13.9070997238159,NA,12.1673994064331,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0.104795822237238,0.262476603190104,A2ASS6,A2ASS6,Titin,Ttn,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,9,3906.4,15,4,3,4,4,12.2390995025635,10.7434997558594,9.15250015258789,10.7189798355103,10.2466897964478,12.1993999481201,10.7813596725464,11.2505197525024,10.8906497955322,15.0798101425171,15.8807401657104,15.9958505630493,15.8670701980591,30,IRAK1,NONE
FALSE,0,NA,A2ASZ8,A2ASZ8,Calcium-binding mitochondrial carrier protein SCaMC-2,Slc25a25,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,52.62,4,4,0,0,0,10.5352296829224,10.0580997467041,10.4979000091553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0.0146145307600947,0.0158329010009766,A2AT37,A2AT37,NA,Upf2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,23,147.55,15,4,3,4,4,19.4575004577637,18.4512004852295,18.492000579834,18.6868991851807,18.7942008972168,19.1781005859375,18.5543003082275,19.0478992462158,18.8460006713867,22.3775005340576,22.1944007873535,22.2978992462158,22.7497997283936,30,IRAK1,NONE
FALSE,0.191522830973896,0.413949807484945,A2AUM9,A2AUM9,Centrosomal protein of 152 kDa,Cep152,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,7,196.53,14,4,3,3,4,14.1586999893188,13.858099937439,12.8273000717163,15.4405002593994,12.4930000305176,13.5613994598389,NA,13.201099395752,14.8562002182007,19.502799987793,19.7756004333496,19.7560005187988,19.9734992980957,30,IRAK1,NONE
FALSE,0,NA,A2AWA9,A2AWA9,Rab GTPase-activating protein 1,Rabgap1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,120.8,4,3,1,0,0,16.0109004974365,NA,12.0307998657227,NA,NA,12.977499961853,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0.68325842054148,-0.621566772460938,A2AWL7,A2AWL7,MAX gene-associated protein,Mga,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,6,328.8,14,4,3,4,3,14.3675003051758,15.1991996765137,14.5536003112793,14.9423999786377,13.2177000045776,14.3512001037598,13.4581995010376,14.2314004898071,14.5659999847412,14.6029996871948,14.4007902145386,17.3465995788574,NA,30,IRAK1,NONE
FALSE,0,NA,A2BDX3,A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase,Mocs3,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,49.374,4,2,2,0,0,NA,NA,15.3105001449585,15.9426002502441,NA,14.8359003067017,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,1.72079029606225,-1.40059979756673,A2BE28,A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,15,89.413,15,4,4,3,4,18.9386005401611,18.9367008209229,19.3414993286133,18.7544002532959,18.5564994812012,19.2651996612549,17.0559997558594,18.2399005889893,17.7191009521484,20.5429000854492,20.8223991394043,21.4249000549316,21.4591999053955,30,IRAK1,NONE
FALSE,1.4920303637733,1.9210999806722,A2BH40,A2BH40,AT-rich interactive domain-containing protein 1A,Arid1a,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,12,242.09,15,4,4,4,3,15.0839004516602,15.8039999008179,14.1598997116089,15.6099996566772,14.790599822998,16.2637996673584,16.9288997650146,16.3190002441406,17.5631999969482,18.6667003631592,18.5706996917725,NA,18.4302997589111,30,IRAK1,NONE
FALSE,1.11667887667847,-0.369800249735516,A2RSJ4,A2RSJ4,UHRF1-binding protein 1-like,Uhrf1bp1l,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,5,161.94,12,4,3,3,2,14.3452997207642,14.3626003265381,14.0796003341675,13.5209999084473,13.5216999053955,14.3852005004883,13.792200088501,14.1429996490479,13.7428998947144,18.3943004608154,NA,NA,18.4342002868652,30,IRAK1,NONE
FALSE,1.04014445837078,0.434000015258789,A2RSY6,A2RSY6,TRMT1-like protein,Trmt1l,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,16,80.86,16,4,4,4,4,19.9104995727539,19.8547992706299,19.3570995330811,19.7224998474121,19.1000995635986,20.1231002807617,20.3099994659424,20.024299621582,20.0900993347168,23.3323001861572,24.0716991424561,23.5515003204346,23.9386005401611,30,IRAK1,NONE
FALSE,0.131570508190535,-0.294166405995686,A2RTL5,A2RTL5,Arginine/serine-rich coiled-coil protein 2,Rsrc2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,43.876,9,4,3,2,0,16.0853996276855,15.1353998184204,17.2812995910645,15.1096000671387,18.3673000335693,15.5566005706787,NA,15.7934999465942,15.9528999328613,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0.312954360494982,0.403033892313641,A3KFM7,A3KFM7,Chromodomain-helicase-DNA-binding protein 6,Chd6,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,6,305.39,15,4,4,3,4,13.4126996994019,13.8640995025635,13.7206001281738,13.7945995330811,14.6344003677368,12.8276996612549,15.0868005752563,13.581000328064,13.5387001037598,15.3747596740723,17.174430847168,17.1774005889893,17.2195301055908,30,IRAK1,NONE
FALSE,0,NA,A3KGS3,A3KGS3,Ral GTPase-activating protein subunit alpha-2,Ralgapa2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,210.29,7,4,3,0,0,9.76603031158447,9.76630020141602,9.36174964904785,9.53234004974365,9.21774005889893,9.3050594329834,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0.160975339554514,0.635150114695231,A3KGV1,A3KGV1,Outer dense fiber protein 2,Odf2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,5,95.54,12,3,2,3,4,12.9296998977661,12.0313997268677,14.9625997543335,NA,13.8318996429443,17.3817005157471,NA,15.1721000671387,12.71399974823,20.8090991973877,20.5594997406006,20.9969005584717,21.608699798584,30,IRAK1,NONE
FALSE,1.21519481742096,0.557800134023031,A6H5Y1,A6H5Y1,M-phase phosphoprotein 9,Mphosph9,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,109.95,13,4,3,3,3,12.4485998153687,12.4682998657227,12.2272996902466,12.6805000305176,12.3640003204346,13.3702001571655,12.7217998504639,13.1565999984741,NA,14.921350479126,15.4342002868652,14.8149700164795,NA,30,IRAK1,NONE
FALSE,0,-1.5584675470988,A6H5Z3,A6H5Z3,Exocyst complex component 6B,Exoc6b,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,5,94.128,8,4,3,1,0,15.4448003768921,15.0615005493164,15.0177001953125,14.9107999801636,14.734299659729,15.4025001525879,13.6161994934082,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0,NA,A6H611,A6H611,Mitochondrial intermediate peptidase,Mipep,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,80.851,5,4,1,0,0,12.6335000991821,11.5629997253418,11.7849998474121,NA,NA,12.4196996688843,NA,NA,NA,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0.185904360536969,0.443033536275228,A6H619,A6H619,PHD and RING finger domain-containing protein 1,Phrf1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,184.08,11,4,2,2,3,16.1448993682861,15.0209999084473,13.7986001968384,14.1339998245239,NA,14.5443000793457,NA,15.6288003921509,15.2335996627808,18.5932006835938,19.5895004272461,18.407600402832,NA,30,IRAK1,NONE
FALSE,1.01785175267915,-1.47401682535807,A6H8H2,A6H8H2,DENN domain-containing protein 4C,Dennd4c,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,4,211.46,9,4,2,2,1,14.331000328064,14.5690002441406,13.1115999221802,13.36549949646,12.3690996170044,NA,NA,12.2684001922607,12.7912998199463,NA,13.8150596618652,NA,NA,30,IRAK1,NONE
FALSE,0.235073682082555,0.481366316477457,A8C756,A8C756,Thyroid adenoma-associated protein homolog,Thada,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,5,217.29,10,4,3,2,1,12.6926002502441,13.7020998001099,12.1829996109009,14.7475004196167,13.9692001342773,13.5029001235962,NA,14.0509996414185,12.630199432373,NA,NA,NA,13.5487995147705,30,IRAK1,NONE
FALSE,0.128901679721403,0.396450519561768,A8Y5H7,A8Y5H7,NA,Sec14l1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,81.215,7,2,3,2,0,NA,13.9441995620728,12.2767000198364,12.3238000869751,12.8436002731323,13.3388996124268,12.8605003356934,NA,14.1533002853394,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,0.395380907589943,0.265833536783852,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,7,119.91,15,4,3,4,4,19.0993995666504,19.039400100708,19.1107006072998,19.6042995452881,19.3600997924805,19.9829006195068,19.4955005645752,18.8019008636475,19.7495994567871,23.5596008300781,24.214599609375,23.7122993469238,23.7697010040283,30,IRAK1,NONE
